MID 97f
1.00000000 0.00267900
0.99622000 0.00344300
0.98944400 0.00483700
0.98150400 0.00650400
0.97280300 0.00838000
0.96359800 0.01040900
0.95412400 0.01253300
0.94452100 0.01470300
0.93489400 0.01687000
0.92531000 0.01899300
0.91574100 0.02106300
0.90618600 0.02308400
0.89665200 0.02504300
0.88707700 0.02695100
0.87746600 0.02882000
0.86786100 0.03063900
0.85821800 0.03241500
0.84854300 0.03415900
0.83888000 0.03586000
0.82923300 0.03751100
0.81955400 0.03912000
0.80985500 0.04069500
0.80021600 0.04221600
0.79058100 0.04367600
0.78089600 0.04510700
0.77131000 0.04649900
0.76210100 0.04778100
0.75331800 0.04884900
0.74471700 0.04966200
0.73596300 0.05029300
0.72683600 0.05087000
0.71732400 0.05151100
0.70759000 0.05222200
0.69776100 0.05295100
0.68786600 0.05366600
0.67790900 0.05437500
0.66790300 0.05509100
0.65787100 0.05581300
0.64783000 0.05653600
0.63778300 0.05725900
0.62773100 0.05798100
0.61767400 0.05870300
0.60761800 0.05942600
0.59756200 0.06014900
0.58750900 0.06087200
0.57745800 0.06159500
0.56741600 0.06231700
0.55738700 0.06303900
0.54737300 0.06375700
0.53737800 0.06447100
0.52742800 0.06518900
0.51757100 0.06591200
0.50785900 0.06661900
0.49830600 0.06727500
0.48892300 0.06789100
0.47985500 0.06854800
0.47137600 0.06930300
0.46364400 0.07003900
0.45650800 0.07056400
0.44968200 0.07075700
0.44283800 0.07067400
0.43568600 0.07081500
0.42799600 0.07105900
0.41959700 0.07113400
0.41050400 0.07115000
0.40099200 0.07119500
0.39130100 0.07121500
0.38150700 0.07119600
0.37164400 0.07114400
0.36175400 0.07106500
0.35188400 0.07095900
0.34204800 0.07081700
0.33221600 0.07063100
0.32237300 0.07040800
0.31254800 0.07014800
0.30275300 0.06984700
0.29297700 0.06949900
0.28320800 0.06910300
0.27346600 0.06866000
0.26375400 0.06816100
0.25404700 0.06760600
0.24434400 0.06699400
0.23466200 0.06632800
0.22501600 0.06560200
0.21538500 0.06481000
0.20576500 0.06395500
0.19617600 0.06303500
0.18663000 0.06204700
0.17711100 0.06098400
0.16761400 0.05984400
0.15817700 0.05863100
0.14879100 0.05733000
0.13943500 0.05594000
0.13013700 0.05446100
0.12090800 0.05288800
0.11174800 0.05121500
0.10266700 0.04943800
0.09369700 0.04755800
0.08488100 0.04557000
0.07625600 0.04346900
0.06783500 0.04124000
0.05967400 0.03889600
0.05189500 0.03645600
0.04459600 0.03393400
0.03787000 0.03135700
0.03181500 0.02876400
0.02649000 0.02619400
0.02188800 0.02367000
0.01795800 0.02121700
0.01463800 0.01886600
0.01185900 0.01663800
0.00953300 0.01453800
0.00756800 0.01259900
0.00590200 0.01083900
0.00448800 0.00924500
0.00330000 0.00778300
0.00231500 0.00641500
0.00151900 0.00511700
0.00090000 0.00387200
0.00044300 0.00267000
0.00014800 0.00151100
0.00000000 0.00000000
0.00000000 0.00000000
0.00003000 -0.00065800
0.00022500 -0.00174600
0.00063500 -0.00284200
0.00127200 -0.00389800
0.00213700 -0.00489500
0.00321300 -0.00583600
0.00449100 -0.00674700
0.00597100 -0.00766000
0.00767700 -0.00859700
0.00964400 -0.00956200
0.01193000 -0.01054300
0.01460900 -0.01152400
0.01778200 -0.01249200
0.02157400 -0.01345100
0.02611500 -0.01439200
0.03151400 -0.01530400
0.03780000 -0.01615000
0.04491000 -0.01688900
0.05270100 -0.01748900
0.06100300 -0.01793200
0.06966200 -0.01821700
0.07857500 -0.01834800
0.08768200 -0.01834200
0.09690700 -0.01821000
0.10622100 -0.01795600
0.11565200 -0.01759100
0.12520900 -0.01713300
0.13484400 -0.01660700
0.14450500 -0.01601800
0.15420400 -0.01536700
0.16392100 -0.01466400
0.17362900 -0.01390500
0.18335300 -0.01309100
0.19310000 -0.01222700
0.20285300 -0.01131700
0.21260500 -0.01036100
0.22237500 -0.00935600
0.23216900 -0.00831200
0.24196900 -0.00723200
0.25177000 -0.00611400
0.26158600 -0.00496000
0.27142500 -0.00377400
0.28127900 -0.00256000
0.29113900 -0.00132200
0.30100400 -0.00005900
0.31089500 0.00123000
0.32081800 0.00253600
0.33075100 0.00385300
0.34069100 0.00518000
0.35064200 0.00651800
0.36060500 0.00786000
0.37056100 0.00919700
0.38050600 0.01052600
0.39044300 0.01184600
0.40036200 0.01315300
0.41025500 0.01444300
0.42012600 0.01570800
0.42998900 0.01695000
0.43984900 0.01816700
0.44970000 0.01936000
0.45952500 0.02052300
0.46931700 0.02164900
0.47908600 0.02273300
0.48884400 0.02377200
0.49858800 0.02476600
0.50831300 0.02571000
0.51802000 0.02660300
0.52771000 0.02743700
0.53739100 0.02821200
0.54706300 0.02892700
0.55673000 0.02958100
0.56638600 0.03017100
0.57603900 0.03069300
0.58570600 0.03114900
0.59540400 0.03154400
0.60513600 0.03188400
0.61487900 0.03217500
0.62462000 0.03241300
0.63434900 0.03259700
0.64406500 0.03272500
0.65377500 0.03279300
0.66348700 0.03280400
0.67319000 0.03275500
0.68288000 0.03264600
0.69256100 0.03247400
0.70224400 0.03223800
0.71193500 0.03194100
0.72163300 0.03158300
0.73133400 0.03116700
0.74102600 0.03069200
0.75071300 0.03015700
0.76040600 0.02956200
0.77010300 0.02891100
0.77978700 0.02820300
0.78945300 0.02743500
0.79912300 0.02660500
0.80880600 0.02571600
0.81848500 0.02477400
0.82814900 0.02377400
0.83781200 0.02271500
0.84748700 0.02159900
0.85715600 0.02043100
0.86680900 0.01920900
0.87645700 0.01793200
0.88611800 0.01659600
0.89577900 0.01521100
0.90542900 0.01377500
0.91508200 0.01228700
0.92472700 0.01075000
0.93436900 0.00916300
0.94401700 0.00753000
0.95362900 0.00586200
0.96315400 0.00416900
0.97247500 0.00247600
0.98132700 0.00084000
0.98939800 -0.00067400
0.99625200 -0.00196700
1.00000000 -0.00267900
