NACA 2R112
1.00000000 0.00130000
0.95000000 0.00870000
0.90000000 0.01630000
0.80000000 0.03160000
0.70000000 0.04610000
0.60000000 0.05940000
0.50000000 0.07030000
0.40000000 0.07760000
0.30000000 0.07980000
0.25000000 0.07820000
0.20000000 0.07470000
0.15000000 0.06820000
0.10000000 0.05840000
0.07500000 0.05160000
0.05000000 0.04290000
0.02500000 0.03100000
0.01250000 0.02240000
0.00000000 0.00000000
0.00000000 0.00000000
0.01250000 -0.01570000
0.02500000 -0.02170000
0.05000000 -0.02860000
0.07500000 -0.03280000
0.10000000 -0.03570000
0.15000000 -0.03880000
0.20000000 -0.04020000
0.25000000 -0.04060000
0.30000000 -0.04020000
0.40000000 -0.03840000
0.50000000 -0.03550000
0.60000000 -0.03180000
0.70000000 -0.02720000
0.80000000 -0.02100000
0.90000000 -0.01260000
0.95000000 -0.00740000
1.00000000 -0.00130000
