NACA 747A315
1.00000000 0.00000000
0.95004000 0.00481000
0.90016000 0.01289000
0.85038000 0.02257000
0.80073000 0.03295000
0.75130000 0.04336000
0.70241000 0.05354000
0.65366000 0.06365000
0.60435000 0.07324000
0.55463000 0.08206000
0.50447000 0.08964000
0.45375000 0.09572000
0.40200000 0.09962000
0.35001000 0.09982000
0.29867000 0.09731000
0.24758000 0.09242000
0.19668000 0.08503000
0.14599000 0.07497000
0.09558000 0.06140000
0.07053000 0.05286000
0.04564000 0.04264000
0.02109000 0.02935000
0.00911000 0.02065000
0.00449000 0.01599000
0.00229000 0.01305000
0.00000000 0.00000000
0.00000000 0.00000000
0.00771000 -0.01031000
0.01051000 -0.01207000
0.01589000 -0.01473000
0.02891000 -0.01927000
0.05436000 -0.02518000
0.07947000 -0.02952000
0.10442000 -0.03304000
0.15401000 -0.03843000
0.20332000 -0.04247000
0.25242000 -0.04546000
0.30133000 -0.04773000
0.34999000 -0.04926000
0.39800000 -0.05020000
0.44625000 -0.05040000
0.49553000 -0.05014000
0.54537000 -0.04930000
0.59565000 -0.04772000
0.64634000 -0.04509000
0.69759000 -0.04110000
0.74870000 -0.03502000
0.79927000 -0.02743000
0.84962000 -0.01915000
0.89984000 -0.01097000
0.94996000 -0.00405000
1.00000000 0.00000000
