NACA CYH
1.00000000 -0.01450000
0.95000000 -0.00570000
0.90000000 0.00340000
0.80000000 0.02120000
0.70000000 0.03910000
0.60000000 0.05650000
0.50000000 0.07020000
0.40000000 0.07900000
0.30000000 0.08200000
0.20000000 0.07860000
0.15000000 0.07180000
0.10000000 0.06100000
0.07500000 0.05350000
0.05000000 0.04400000
0.02500000 0.03000000
0.01250000 0.01950000
0.00000000 0.00000000
0.00000000 0.00000000
0.01250000 -0.01570000
0.02500000 -0.02030000
0.05000000 -0.02570000
0.07500000 -0.02870000
0.10000000 -0.03080000
0.15000000 -0.03350000
0.20000000 -0.03470000
0.30000000 -0.03500000
0.40000000 -0.03500000
0.50000000 -0.03500000
0.60000000 -0.03500000
0.70000000 -0.03440000
0.80000000 -0.03120000
0.90000000 -0.02480000
0.95000000 -0.02100000
1.00000000 -0.01650000
