DU 86-137/25
1.00000000 0.00000000
0.99871000 0.00014000
0.99492000 0.00056000
0.98880000 0.00124000
0.98042000 0.00219000
0.96988000 0.00341000
0.95722000 0.00488000
0.94254000 0.00661000
0.92592000 0.00860000
0.90745000 0.01084000
0.88721000 0.01332000
0.86531000 0.01605000
0.84183000 0.01902000
0.81686000 0.02223000
0.79037000 0.02571000
0.76229000 0.02984000
0.73352000 0.03541000
0.70546000 0.04177000
0.67796000 0.04723000
0.65012000 0.05168000
0.62179000 0.05555000
0.59305000 0.05881000
0.56394000 0.06154000
0.53454000 0.06379000
0.50494000 0.06558000
0.47526000 0.06695000
0.44559000 0.06790000
0.41606000 0.06846000
0.38678000 0.06864000
0.35786000 0.06844000
0.32941000 0.06788000
0.30155000 0.06697000
0.27439000 0.06571000
0.24803000 0.06411000
0.22256000 0.06217000
0.19809000 0.05992000
0.17471000 0.05735000
0.15249000 0.05448000
0.13152000 0.05132000
0.11186000 0.04791000
0.09359000 0.04425000
0.07677000 0.04039000
0.06146000 0.03636000
0.04774000 0.03218000
0.03565000 0.02788000
0.02524000 0.02349000
0.01656000 0.01904000
0.00964000 0.01457000
0.00453000 0.01015000
0.00138000 0.00578000
0.00007000 0.00131000
0.00000000 0.00000000
0.00000000 0.00000000
0.00047000 -0.00301000
0.00294000 -0.00696000
0.00764000 -0.01091000
0.01435000 -0.01502000
0.02290000 -0.01925000
0.03318000 -0.02352000
0.04516000 -0.02770000
0.05882000 -0.03181000
0.07410000 -0.03583000
0.09093000 -0.03972000
0.10924000 -0.04348000
0.12894000 -0.04708000
0.14994000 -0.05048000
0.17216000 -0.05364000
0.19552000 -0.05655000
0.21944000 -0.05918000
0.24533000 -0.06151000
0.27157000 -0.06351000
0.29857000 -0.06517000
0.32625000 -0.06646000
0.35450000 -0.06736000
0.38323000 -0.06788000
0.41232000 -0.06799000
0.44169000 -0.06768000
0.47124000 -0.06695000
0.50084000 -0.06582000
0.53040000 -0.06246000
0.55980000 -0.06228000
0.58894000 -0.05984000
0.61773000 -0.05691000
0.64612000 -0.05347000
0.67410000 -0.04950000
0.70167000 -0.04506000
0.72880000 -0.04019000
0.75554000 -0.03500000
0.78191000 -0.02970000
0.80775000 -0.02457000
0.83286000 -0.01982000
0.85696000 -0.01553000
0.87982000 -0.01179000
0.90121000 -0.00862000
0.92092000 -0.00604000
0.93875000 -0.00398000
0.95455000 -0.00242000
0.96821000 -0.00128000
0.97963000 -0.00058000
0.98855000 -0.00030000
0.99488000 -0.00017000
0.99870000 -0.00004000
1.00000000 0.00000000
