AG44ct -02f
0.99999000 0.00058900
0.99427100 0.00120100
0.98266600 0.00247200
0.96946000 0.00388700
0.95593000 0.00531400
0.94231000 0.00672000
0.92864400 0.00811700
0.91494600 0.00950000
0.90119900 0.01085700
0.88742600 0.01219600
0.87362300 0.01351800
0.85979600 0.01481300
0.84596000 0.01609000
0.83210200 0.01735300
0.81823000 0.01859500
0.80435000 0.01981300
0.79047100 0.02101000
0.77658100 0.02218600
0.76269000 0.02333400
0.74879900 0.02446300
0.73490800 0.02556300
0.72101900 0.02664000
0.71000300 0.02747500
0.70530700 0.02782500
0.70296000 0.02799800
0.70005600 0.02831500
0.69450700 0.02891700
0.68028900 0.03043200
0.66609200 0.03192000
0.65879300 0.03267200
0.64845100 0.03372500
0.63776300 0.03479700
0.62363700 0.03618300
0.61169800 0.03733100
0.59548500 0.03885100
0.58149000 0.04012600
0.56753000 0.04136000
0.55644600 0.04231700
0.54748900 0.04306800
0.53946600 0.04372700
0.52557300 0.04483500
0.51170300 0.04589400
0.49781800 0.04690900
0.48391800 0.04787800
0.47000800 0.04879900
0.45609300 0.04967300
0.44214300 0.05049800
0.42817400 0.05127200
0.41417600 0.05199300
0.40015200 0.05266200
0.38611800 0.05327100
0.37208700 0.05382200
0.35806600 0.05430900
0.34405600 0.05473200
0.33007100 0.05508300
0.31611800 0.05536300
0.30219400 0.05556400
0.28830900 0.05568300
0.27445900 0.05571600
0.26063100 0.05565400
0.24682900 0.05549200
0.23304200 0.05522100
0.21926100 0.05483000
0.20550700 0.05431100
0.19178600 0.05365000
0.17809300 0.05283400
0.16445600 0.05185000
0.15086800 0.05067700
0.13735200 0.04929700
0.12392200 0.04768900
0.11059300 0.04582300
0.09741100 0.04367400
0.08439600 0.04120400
0.07161600 0.03837900
0.05912600 0.03514400
0.04705900 0.03145700
0.03561200 0.02729400
0.02517500 0.02270700
0.01642900 0.01798500
0.01002600 0.01367700
0.00584200 0.01014200
0.00320700 0.00731700
0.00155200 0.00500400
0.00056600 0.00304600
0.00008700 0.00138700
0.00000000 0.00000000
0.00000000 0.00000000
0.00026400 -0.00130400
0.00103900 -0.00268200
0.00253400 -0.00405300
0.00482600 -0.00543000
0.00820900 -0.00692300
0.01334400 -0.00862500
0.02105900 -0.01053200
0.03129500 -0.01239200
0.04311600 -0.01397100
0.05573100 -0.01521800
0.06872800 -0.01617000
0.08195600 -0.01689200
0.09533400 -0.01743500
0.10881500 -0.01782700
0.12237400 -0.01809400
0.13599300 -0.01825700
0.14965900 -0.01833100
0.16335700 -0.01833600
0.17709200 -0.01828400
0.19084900 -0.01818300
0.20463300 -0.01804100
0.21844900 -0.01786300
0.23228500 -0.01765500
0.24614100 -0.01742100
0.26002700 -0.01716400
0.27393900 -0.01688600
0.28787800 -0.01658800
0.30184100 -0.01627600
0.31582700 -0.01594600
0.32982400 -0.01560200
0.34383800 -0.01524500
0.35786200 -0.01487700
0.37189500 -0.01450000
0.38596300 -0.01411200
0.40008100 -0.01371700
0.41422900 -0.01331400
0.42839600 -0.01290400
0.44255700 -0.01249000
0.45672300 -0.01207200
0.47087900 -0.01165200
0.48501700 -0.01122900
0.49913600 -0.01080600
0.51323400 -0.01038400
0.52729600 -0.00996300
0.54133400 -0.00954400
0.54890600 -0.00931900
0.55850900 -0.00903400
0.56880500 -0.00873000
0.58220800 -0.00833800
0.59558100 -0.00794900
0.60190800 -0.00776600
0.60915900 -0.00755900
0.62275100 -0.00717400
0.63632700 -0.00679600
0.64622500 -0.00652300
0.65532300 -0.00627700
0.66360900 -0.00605300
0.67726000 -0.00569200
0.69092300 -0.00534000
0.69705600 -0.00518400
0.70043700 -0.00510000
0.70632700 -0.00495300
0.71861500 -0.00465300
0.73252800 -0.00432100
0.74644800 -0.00400100
0.76036600 -0.00369300
0.77429900 -0.00339600
0.78820300 -0.00311200
0.80207700 -0.00284100
0.81595900 -0.00258400
0.82981500 -0.00234100
0.84369500 -0.00210900
0.85755900 -0.00188400
0.87140100 -0.00166400
0.88524300 -0.00145300
0.89911900 -0.00124600
0.91295100 -0.00104800
0.92681400 -0.00085500
0.94067700 -0.00066900
0.95455200 -0.00048900
0.96841300 -0.00031600
0.98202400 -0.00015200
0.99403200 -0.00001300
0.99999000 0.00005500
