AG46c -03f
0.99984100 0.01602100
0.99389300 0.01634200
0.98185600 0.01705300
0.96826600 0.01786500
0.95437500 0.01866700
0.94044700 0.01947700
0.92651700 0.02028800
0.91258800 0.02109000
0.89865700 0.02188000
0.88472900 0.02265500
0.87079800 0.02341300
0.85687400 0.02415500
0.84294900 0.02487600
0.82902700 0.02558400
0.81510400 0.02626900
0.80117800 0.02693700
0.78725700 0.02758500
0.77333500 0.02821600
0.75941200 0.02882600
0.74549000 0.02941500
0.73156700 0.02998100
0.71764100 0.03052500
0.70658300 0.03093700
0.70288700 0.03107700
0.70103900 0.03114400
0.69767000 0.03143600
0.69093100 0.03202600
0.67705100 0.03322200
0.66317300 0.03439000
0.65602900 0.03497900
0.65171600 0.03534000
0.64589900 0.03580300
0.63541700 0.03664000
0.62153800 0.03771900
0.60978600 0.03860800
0.59379200 0.03978300
0.57995000 0.04076200
0.56611600 0.04170600
0.55511300 0.04243200
0.54620600 0.04300200
0.53822700 0.04350200
0.52438700 0.04433800
0.51055100 0.04513400
0.49669000 0.04589400
0.48281300 0.04661300
0.46894300 0.04728900
0.45508600 0.04792100
0.44122100 0.04851100
0.42736100 0.04905300
0.41350600 0.04954900
0.39964500 0.04999400
0.38578800 0.05038800
0.37193800 0.05072700
0.35809200 0.05101200
0.34424600 0.05123800
0.33040900 0.05140200
0.31658100 0.05150100
0.30275700 0.05153200
0.28894800 0.05149000
0.27514900 0.05137000
0.26135600 0.05116900
0.24758200 0.05088000
0.23382900 0.05049800
0.22009000 0.05001700
0.20638000 0.04943000
0.19270100 0.04872900
0.17905100 0.04790500
0.16545400 0.04694800
0.15190300 0.04584600
0.13841800 0.04458600
0.12501300 0.04315200
0.11169900 0.04152200
0.09851700 0.03967500
0.08548600 0.03757500
0.07266700 0.03518300
0.06011100 0.03244200
0.04794500 0.02928700
0.03636700 0.02567100
0.02576700 0.02160600
0.01684600 0.01732100
0.01028700 0.01331500
0.00598900 0.00995700
0.00327500 0.00723100
0.00157100 0.00496700
0.00055700 0.00303400
0.00007100 0.00138400
0.00000000 0.00000000
0.00000000 0.00000000
0.00031900 -0.00128900
0.00119500 -0.00260100
0.00278900 -0.00385300
0.00516300 -0.00507100
0.00862900 -0.00634500
0.01385000 -0.00773800
0.02165200 -0.00920200
0.03195700 -0.01052800
0.04382300 -0.01154400
0.05646400 -0.01223600
0.06947300 -0.01266500
0.08270000 -0.01289100
0.09607400 -0.01296300
0.10954600 -0.01291300
0.12309300 -0.01276500
0.13669600 -0.01254000
0.15034700 -0.01225200
0.16402800 -0.01191200
0.17774600 -0.01152900
0.19148400 -0.01111200
0.20525000 -0.01067700
0.21904800 -0.01023600
0.23286900 -0.00979100
0.24670900 -0.00934000
0.26057900 -0.00888500
0.27447600 -0.00842500
0.28839900 -0.00796000
0.30234700 -0.00749000
0.31631700 -0.00701700
0.33030100 -0.00654000
0.34429900 -0.00605900
0.35831100 -0.00557400
0.37233000 -0.00508700
0.38636500 -0.00459600
0.40041900 -0.00410300
0.41448200 -0.00360600
0.42853800 -0.00310800
0.44258300 -0.00260800
0.45661400 -0.00210700
0.47063600 -0.00160500
0.48464200 -0.00110200
0.49863200 -0.00059800
0.51261600 -0.00009400
0.52658300 0.00041100
0.54053700 0.00091600
0.54807400 0.00118900
0.55764600 0.00153600
0.56791900 0.00190900
0.58132100 0.00239500
0.59471300 0.00288100
0.60105400 0.00311000
0.60832500 0.00337400
0.62197900 0.00386900
0.63563300 0.00436300
0.64558100 0.00472300
0.65055800 0.00490300
0.65472900 0.00505300
0.66307000 0.00535400
0.67680300 0.00584900
0.69053800 0.00634300
0.69670300 0.00656400
0.69984500 0.00667600
0.70613500 0.00690200
0.71846800 0.00734300
0.73239800 0.00783800
0.74632000 0.00833300
0.76022600 0.00882400
0.77412000 0.00931300
0.78799300 0.00979900
0.80185600 0.01028200
0.81571700 0.01076200
0.82957800 0.01123300
0.84344100 0.01168400
0.85731100 0.01212400
0.87118100 0.01254300
0.88505100 0.01294700
0.89892800 0.01332200
0.91280700 0.01367500
0.92668700 0.01400400
0.94057100 0.01430100
0.95445700 0.01456700
0.96831900 0.01480300
0.98193400 0.01499700
0.99395600 0.01516200
0.99990200 0.01522800
