DAE-21 AIRFOIL
1.00000000 0.00000000
0.98671180 0.00241760
0.97036160 0.00549100
0.94769040 0.01008120
0.91770190 0.01674020
0.88729150 0.02411620
0.85715900 0.03196120
0.82686460 0.04027720
0.79625910 0.04897520
0.76528360 0.05793020
0.73417610 0.06691010
0.70335360 0.07561510
0.67287320 0.08384910
0.64271970 0.09142510
0.61283330 0.09819110
0.58318290 0.10412710
0.55373660 0.10922310
0.52444520 0.11347910
0.49523800 0.11690410
0.46603670 0.11952310
0.43678950 0.12136410
0.40750430 0.12242410
0.37821810 0.12269400
0.34897690 0.12215900
0.31982980 0.12080600
0.29083370 0.11861100
0.26204470 0.11555800
0.23354970 0.11162490
0.20545970 0.10678690
0.17791370 0.10101790
0.15108380 0.09428100
0.12516790 0.08654200
0.10044210 0.07780910
0.07730930 0.06813120
0.05632350 0.05766740
0.03817380 0.04673970
0.02354910 0.03585720
0.01284140 0.02570070
0.00587260 0.01683440
0.00194990 0.00941430
0.00000000 0.00000000
0.00000000 0.00000000
0.00075440 -0.00515600
0.00216850 -0.00800580
0.00436760 -0.01023780
0.00779670 -0.01205970
0.01364870 -0.01351650
0.02426380 -0.01460610
0.04166700 -0.01501850
0.06597110 -0.01440160
0.09456120 -0.01300360
0.12527030 -0.01106460
0.15690840 -0.00884540
0.18901750 -0.00648930
0.22137560 -0.00409020
0.25370970 -0.00171300
0.28594480 0.00060710
0.31809790 0.00285020
0.35018100 0.00499240
0.38219120 0.00701750
0.41412430 0.00889960
0.44598340 0.01061080
0.47776450 0.01213890
0.50946870 0.01344800
0.54112290 0.01451610
0.57275500 0.01533620
0.60436420 0.01591130
0.63594430 0.01622740
0.66750850 0.01627050
0.69906970 0.01604260
0.73061990 0.01555570
0.76213210 0.01479880
0.79360340 0.01375590
0.82505460 0.01241600
0.85653980 0.01077810
0.88822500 0.00884420
0.92004130 0.00663130
0.94850050 0.00444520
0.97022680 0.00264200
0.98656990 0.00120250
1.00000000 0.00000000
