E171 (12.28%)
1.00000000 0.00000000
0.99644000 0.00023000
0.98613000 0.00120000
0.96985000 0.00302000
0.94806000 0.00536000
0.92086000 0.00808000
0.88853000 0.01134000
0.85160000 0.01525000
0.81068000 0.01980000
0.76641000 0.02493000
0.71950000 0.03052000
0.67062000 0.03638000
0.62048000 0.04228000
0.56975000 0.04795000
0.51907000 0.05302000
0.46887000 0.05707000
0.41943000 0.05984000
0.37102000 0.06123000
0.32389000 0.06127000
0.27839000 0.06013000
0.23501000 0.05796000
0.19422000 0.05482000
0.15645000 0.05078000
0.12207000 0.04593000
0.09142000 0.04034000
0.06481000 0.03412000
0.04247000 0.02739000
0.02461000 0.02033000
0.01138000 0.01314000
0.00297000 0.00613000
0.00000000 0.00000000
0.00000000 0.00000000
0.00297000 -0.00613000
0.01138000 -0.01314000
0.02461000 -0.02033000
0.04247000 -0.02739000
0.06481000 -0.03412000
0.09142000 -0.04034000
0.12207000 -0.04593000
0.15645000 -0.05078000
0.19422000 -0.05482000
0.23501000 -0.05796000
0.27839000 -0.06013000
0.32389000 -0.06127000
0.37102000 -0.06123000
0.41943000 -0.05984000
0.46887000 -0.05707000
0.51907000 -0.05302000
0.56975000 -0.04795000
0.62048000 -0.04228000
0.67062000 -0.03638000
0.71950000 -0.03052000
0.76641000 -0.02493000
0.81068000 -0.01980000
0.85160000 -0.01525000
0.88853000 -0.01134000
0.92086000 -0.00808000
0.94806000 -0.00536000
0.96985000 -0.00302000
0.98613000 -0.00120000
0.99644000 -0.00023000
1.00000000 0.00000000
