E203  (13.64%)
0.99998000 -0.00051000
0.99643000 0.00015000
0.98623000 0.00231000
0.97028000 0.00609000
0.94930000 0.01107000
0.92359000 0.01672000
0.89323000 0.02282000
0.85852000 0.02944000
0.81998000 0.03654000
0.77817000 0.04399000
0.73367000 0.05166000
0.68710000 0.05937000
0.63908000 0.06690000
0.59026000 0.07401000
0.54128000 0.08036000
0.49262000 0.08553000
0.44458000 0.08922000
0.39746000 0.09124000
0.35152000 0.09152000
0.30702000 0.09004000
0.26417000 0.08691000
0.22330000 0.08238000
0.18484000 0.07666000
0.14918000 0.06988000
0.11669000 0.06220000
0.08770000 0.05379000
0.06248000 0.04481000
0.04126000 0.03546000
0.02425000 0.02597000
0.01159000 0.01659000
0.00342000 0.00772000
0.00000000 0.00000000
0.00000000 0.00000000
0.00256000 -0.00676000
0.01113000 -0.01347000
0.02469000 -0.02004000
0.04309000 -0.02615000
0.06614000 -0.03164000
0.09364000 -0.03639000
0.12532000 -0.04030000
0.16089000 -0.04332000
0.19997000 -0.04540000
0.24217000 -0.04648000
0.28700000 -0.04653000
0.33396000 -0.04534000
0.38284000 -0.04261000
0.43377000 -0.03850000
0.48641000 -0.03365000
0.54005000 -0.02852000
0.59393000 -0.02340000
0.64728000 -0.01850000
0.69935000 -0.01401000
0.74938000 -0.01005000
0.79663000 -0.00671000
0.84041000 -0.00404000
0.88003000 -0.00207000
0.91487000 -0.00075000
0.94439000 0.00000000
0.96811000 0.00025000
0.98559000 0.00009000
0.99634000 -0.00030000
0.99998000 -0.00051000
