NACA 64(3)-418
1.00000000 0.00000000
0.95037000 0.01030000
0.90077000 0.02132000
0.85108000 0.03294000
0.80127000 0.04477000
0.75135000 0.05654000
0.70131000 0.06784000
0.65114000 0.07841000
0.60086000 0.08799000
0.55047000 0.09635000
0.50000000 0.10320000
0.44945000 0.10820000
0.39885000 0.11093000
0.34823000 0.11037000
0.29763000 0.10730000
0.24707000 0.10176000
0.19657000 0.09366000
0.14617000 0.08277000
0.09595000 0.06823000
0.07095000 0.05908000
0.04609000 0.04800000
0.02152000 0.03357000
0.00950000 0.02370000
0.00486000 0.01840000
0.00263000 0.01508000
0.00000000 0.00000000
0.00000000 0.00000000
0.00737000 -0.01308000
0.01014000 -0.01560000
0.01550000 -0.01942000
0.02848000 -0.02613000
0.05391000 -0.03536000
0.07905000 -0.04212000
0.10405000 -0.04755000
0.15383000 -0.05585000
0.20343000 -0.06182000
0.25293000 -0.06596000
0.30237000 -0.06842000
0.35177000 -0.06917000
0.40115000 -0.06809000
0.45055000 -0.06440000
0.50000000 -0.05908000
0.54953000 -0.05255000
0.59914000 -0.04515000
0.64886000 -0.03721000
0.69869000 -0.02896000
0.74865000 -0.02074000
0.79873000 -0.01293000
0.84892000 -0.00602000
0.94963000 0.00234000
1.00000000 0.00000000
