E10 (8%)
1.00000000 -0.00021000
0.99658000 -0.00017000
0.98646000 0.00011000
0.96998000 0.00095000
0.94757000 0.00254000
0.91977000 0.00496000
0.88715000 0.00815000
0.85025000 0.01200000
0.80962000 0.01636000
0.76582000 0.02109000
0.71940000 0.02600000
0.67092000 0.03092000
0.62094000 0.03568000
0.56999000 0.04012000
0.51861000 0.04409000
0.46735000 0.04746000
0.41671000 0.05011000
0.36720000 0.05194000
0.31929000 0.05287000
0.27344000 0.05285000
0.23006000 0.05183000
0.18955000 0.04981000
0.15226000 0.04681000
0.11850000 0.04287000
0.08855000 0.03807000
0.06267000 0.03253000
0.04106000 0.02636000
0.02385000 0.01970000
0.01117000 0.01282000
0.00312000 0.00599000
0.00000000 0.00000000
0.00000000 0.00000000
0.00271000 -0.00574000
0.01098000 -0.01209000
0.02404000 -0.01850000
0.04170000 -0.02467000
0.06384000 -0.03033000
0.09031000 -0.03534000
0.12093000 -0.03956000
0.15547000 -0.04294000
0.19363000 -0.04545000
0.23508000 -0.04706000
0.27945000 -0.04778000
0.32634000 -0.04767000
0.37526000 -0.04678000
0.42573000 -0.04519000
0.47721000 -0.04299000
0.52916000 -0.04025000
0.58099000 -0.03708000
0.63216000 -0.03358000
0.68208000 -0.02985000
0.73018000 -0.02599000
0.77590000 -0.02212000
0.81870000 -0.01833000
0.85804000 -0.01473000
0.89343000 -0.01139000
0.92437000 -0.00842000
0.95040000 -0.00578000
0.97126000 -0.00343000
0.98681000 -0.00157000
0.99662000 -0.00051000
1.00000000 -0.00021000
