AH 83-159
1.00000000 0.00000000
0.99893000 0.00029000
0.99572000 0.00119000
0.99039000 0.00256000
0.98296000 0.00428000
0.97347000 0.00622000
0.96194000 0.00843000
0.94844000 0.01101000
0.93301000 0.01408000
0.91573000 0.01798000
0.89668000 0.02267000
0.87592000 0.02811000
0.85355000 0.03428000
0.82967000 0.04108000
0.80438000 0.04841000
0.77779000 0.05616000
0.75000000 0.06420000
0.72114000 0.07236000
0.69134000 0.08044000
0.66072000 0.08822000
0.62941000 0.09548000
0.59755000 0.10196000
0.56526000 0.10747000
0.53270000 0.11185000
0.50000000 0.11505000
0.46730000 0.11713000
0.43474000 0.11815000
0.40245000 0.11816000
0.37059000 0.11724000
0.33928000 0.11547000
0.30866000 0.11290000
0.27886000 0.10959000
0.25000000 0.10559000
0.22221000 0.10091000
0.19562000 0.09560000
0.17033000 0.08970000
0.14645000 0.08330000
0.12408000 0.07647000
0.10332000 0.06930000
0.08427000 0.06186000
0.06699000 0.05426000
0.05156000 0.04654000
0.03806000 0.03884000
0.02653000 0.03123000
0.01704000 0.02387000
0.00961000 0.01689000
0.00428000 0.01036000
0.00107000 0.00459000
0.00000000 0.00000000
0.00000000 0.00000000
0.00107000 -0.00356000
0.00428000 -0.00670000
0.00961000 -0.00973000
0.01704000 -0.01268000
0.02653000 -0.01551000
0.03806000 -0.01824000
0.05156000 -0.02088000
0.06699000 -0.02336000
0.08427000 -0.02573000
0.10332000 -0.02795000
0.12408000 -0.03002000
0.14645000 -0.03195000
0.17033000 -0.03372000
0.19562000 -0.03531000
0.22221000 -0.03674000
0.25000000 -0.03797000
0.27886000 -0.03904000
0.30866000 -0.03990000
0.33928000 -0.04057000
0.37059000 -0.04102000
0.40245000 -0.04126000
0.43474000 -0.04127000
0.46730000 -0.04105000
0.50000000 -0.04059000
0.53270000 -0.03986000
0.56526000 -0.03885000
0.59755000 -0.03751000
0.62941000 -0.03582000
0.66072000 -0.03370000
0.69134000 -0.03107000
0.72114000 -0.02792000
0.75000000 -0.02420000
0.77779000 -0.01983000
0.80438000 -0.01484000
0.82967000 -0.00976000
0.85355000 -0.00532000
0.87592000 -0.00197000
0.89668000 0.00035000
0.91573000 0.00175000
0.93301000 0.00239000
0.94844000 0.00246000
0.96194000 0.00215000
0.97347000 0.00162000
0.98296000 0.00101000
0.99039000 0.00048000
0.99572000 0.00019000
0.99893000 0.00005000
1.00000000 0.00000000
