AH 85-L-120/17
1.00000000 0.00000000
0.99893000 0.00080000
0.99572000 0.00112000
0.99039000 0.00167000
0.98296000 0.00229000
0.97347000 0.00314000
0.96194000 0.00422000
0.94844000 0.00564000
0.93301000 0.00746000
0.91573000 0.00976000
0.89668000 0.01260000
0.87592000 0.01602000
0.85355000 0.02003000
0.82967000 0.02455000
0.80438000 0.02941000
0.77779000 0.03434000
0.75000000 0.03903000
0.72114000 0.04330000
0.69134000 0.04707000
0.66072000 0.05032000
0.62941000 0.05308000
0.59755000 0.05538000
0.56526000 0.05725000
0.53270000 0.05870000
0.50000000 0.05975000
0.46730000 0.06036000
0.43474000 0.06055000
0.40245000 0.06032000
0.37059000 0.05971000
0.33928000 0.05871000
0.30866000 0.05738000
0.27886000 0.05573000
0.25000000 0.05380000
0.22221000 0.05160000
0.19562000 0.04913000
0.17033000 0.04640000
0.14645000 0.04344000
0.12408000 0.04027000
0.10332000 0.03690000
0.08427000 0.03335000
0.06699000 0.02966000
0.05156000 0.02585000
0.03806000 0.02196000
0.02653000 0.01807000
0.01704000 0.01427000
0.00961000 0.01060000
0.00428000 0.00706000
0.00107000 0.00354000
0.00000000 0.00000000
0.00000000 0.00000000
0.00107000 -0.00354000
0.00428000 -0.00706000
0.00961000 -0.01060000
0.01704000 -0.01427000
0.02653000 -0.01807000
0.03806000 -0.02196000
0.05156000 -0.02585000
0.06699000 -0.02966000
0.08427000 -0.03335000
0.10332000 -0.03690000
0.12408000 -0.04027000
0.14645000 -0.04344000
0.17033000 -0.04640000
0.19562000 -0.04913000
0.22221000 -0.05160000
0.25000000 -0.05380000
0.27886000 -0.05573000
0.30866000 -0.05738000
0.33928000 -0.05871000
0.37059000 -0.05971000
0.40245000 -0.06032000
0.43474000 -0.06055000
0.46730000 -0.06036000
0.50000000 -0.05975000
0.53270000 -0.05870000
0.56526000 -0.05725000
0.59755000 -0.05538000
0.62941000 -0.05308000
0.66072000 -0.05032000
0.69134000 -0.04707000
0.72114000 -0.04330000
0.75000000 -0.03903000
0.77779000 -0.03434000
0.80438000 -0.02941000
0.82967000 -0.02455000
0.85355000 -0.02003000
0.87592000 -0.01602000
0.89668000 -0.01260000
0.91573000 -0.00976000
0.93301000 -0.00746000
0.94844000 -0.00564000
0.96194000 -0.00422000
0.97347000 -0.00314000
0.98296000 -0.00229000
0.99039000 -0.00167000
0.99572000 -0.00112000
0.99893000 -0.00080000
1.00000000 0.00000000
