NACA 65-210
1.00007335 -0.00084324
0.99624272 -0.00037646
0.99067804 0.00025895
0.98340399 0.00110546
0.97444896 0.00218681
0.96384708 0.00352334
0.95163796 0.00513120
0.93786604 0.00701851
0.92257923 0.00917824
0.90582940 0.01159423
0.88767253 0.01424338
0.86817039 0.01710909
0.84738768 0.02016201
0.82539392 0.02337519
0.80226187 0.02671403
0.77806803 0.03014124
0.75289108 0.03360737
0.72681360 0.03706318
0.69992446 0.04048076
0.67231241 0.04380649
0.64406752 0.04696971
0.61528502 0.04991633
0.58606413 0.05260413
0.55650420 0.05496351
0.52670752 0.05692232
0.49677986 0.05841081
0.46683140 0.05939639
0.43697455 0.05989134
0.40732070 0.05991307
0.37797960 0.05948970
0.34905791 0.05868477
0.32065920 0.05754978
0.29288539 0.05610229
0.26583659 0.05435234
0.23960890 0.05233272
0.21429628 0.05006176
0.18998959 0.04755872
0.16677566 0.04484864
0.14473787 0.04195424
0.12395619 0.03889573
0.10450613 0.03569716
0.08645974 0.03237946
0.06988156 0.02898130
0.05483378 0.02553116
0.04138098 0.02203337
0.02957618 0.01852931
0.01947296 0.01505246
0.01117443 0.01152578
0.00492600 0.00773139
0.00114047 0.00364278
0.00000000 0.00000000
0.00000000 0.00000000
0.00108509 -0.00364443
0.00499845 -0.00754817
0.01153670 -0.01072399
0.02012855 -0.01330364
0.03049145 -0.01567392
0.04252168 -0.01799102
0.05616473 -0.02025381
0.07136810 -0.02243951
0.08807036 -0.02456307
0.10621033 -0.02661270
0.12572397 -0.02856339
0.14654104 -0.03040670
0.16858756 -0.03213022
0.19178533 -0.03372440
0.21605266 -0.03517588
0.24130436 -0.03646826
0.26745157 -0.03758997
0.29440238 -0.03852959
0.32206247 -0.03926031
0.35033426 -0.03977717
0.37911820 -0.04006700
0.40831280 -0.04008151
0.43781376 -0.03975942
0.46751466 -0.03907548
0.49730769 -0.03801306
0.52708424 -0.03656056
0.55673791 -0.03475149
0.58616606 -0.03265418
0.61526878 -0.03033906
0.64394837 -0.02787278
0.67210705 -0.02529347
0.69965044 -0.02265161
0.72648818 -0.02001198
0.75253113 -0.01742294
0.77769031 -0.01490550
0.80188189 -0.01250112
0.82502540 -0.01025187
0.84704250 -0.00818554
0.86785829 -0.00632706
0.88740103 -0.00469233
0.90560332 -0.00329974
0.92240101 -0.00215273
0.93773493 -0.00126111
0.95155000 -0.00062611
0.96379549 -0.00023812
0.97442537 -0.00007116
0.98339932 -0.00008926
0.99068318 -0.00025056
0.99624924 -0.00050992
1.00007335 -0.00084324
