NACA65-421 a=0.5
1.00101324 -0.00531261
0.99925917 -0.00518341
0.99706437 -0.00497539
0.99443204 -0.00468280
0.99136605 -0.00429676
0.98787071 -0.00380881
0.98395086 -0.00321034
0.97961176 -0.00249328
0.97485909 -0.00165007
0.96969879 -0.00067435
0.96413715 0.00043978
0.95818072 0.00169717
0.95183660 0.00310351
0.94511063 0.00465690
0.93801134 0.00636577
0.93054457 0.00822558
0.92271895 0.01024195
0.91454040 0.01240861
0.90601881 0.01473315
0.89716051 0.01720881
0.88797374 0.01983480
0.87846923 0.02261784
0.86865396 0.02555059
0.85853449 0.02862377
0.84811749 0.03182784
0.83741284 0.03516301
0.82642500 0.03861125
0.81516246 0.04216689
0.80363482 0.04582687
0.79184841 0.04957724
0.77981077 0.05340700
0.76753053 0.05730791
0.75501313 0.06126097
0.74226884 0.06526155
0.72930371 0.06929084
0.71612426 0.07333046
0.70274223 0.07737810
0.68916473 0.08141543
0.67540176 0.08543265
0.66146069 0.08941008
0.64734753 0.09332150
0.63306935 0.09714208
0.61863628 0.10085620
0.60405847 0.10444664
0.58934732 0.10789944
0.57451262 0.11119096
0.55956541 0.11430026
0.54451416 0.11718859
0.52937095 0.11982875
0.51414697 0.12217878
0.49885565 0.12419587
0.48351684 0.12587515
0.46815196 0.12722291
0.45278248 0.12825747
0.43742741 0.12896944
0.42210683 0.12937151
0.40684013 0.12947507
0.39164600 0.12928078
0.37654256 0.12880843
0.36154712 0.12807439
0.34667549 0.12710394
0.33194193 0.12592793
0.31736185 0.12454940
0.30295033 0.12297480
0.28872173 0.12121349
0.27469186 0.11926214
0.26087401 0.11713457
0.24728087 0.11484530
0.23392741 0.11239321
0.22082624 0.10978972
0.20798931 0.10704687
0.19543194 0.10416036
0.18316497 0.10114520
0.17120020 0.09801054
0.15955079 0.09475924
0.14822815 0.09140026
0.13724191 0.08794720
0.12660625 0.08439845
0.11633112 0.08076538
0.10642631 0.07705854
0.09690573 0.07327746
0.08777664 0.06943844
0.07905010 0.06554768
0.07073169 0.06162335
0.06282873 0.05767850
0.05535342 0.05371619
0.04831587 0.04974431
0.04173081 0.04576371
0.03560333 0.04179242
0.02993220 0.03785705
0.02471792 0.03397971
0.01996001 0.03018240
0.01566472 0.02647829
0.01185965 0.02285923
0.00856749 0.01933009
0.00582406 0.01589407
0.00367174 0.01256542
0.00209804 0.00940781
0.00103031 0.00650906
0.00039153 0.00393939
0.00008059 0.00175710
0.00000000 0.00000000
0.00000000 0.00000000
0.00008305 -0.00171091
0.00044987 -0.00382615
0.00143420 -0.00620981
0.00266775 -0.00895532
0.00428237 -0.01198947
0.00646435 -0.01517476
0.00931066 -0.01837356
0.01286291 -0.02144998
0.01710518 -0.02430603
0.02193214 -0.02699367
0.02726776 -0.02958130
0.03306524 -0.03212270
0.03929858 -0.03464555
0.04595909 -0.03714288
0.05303972 -0.03960345
0.06053608 -0.04200716
0.06843922 -0.04434613
0.07673471 -0.04663198
0.08541112 -0.04886855
0.09445677 -0.05106207
0.10386365 -0.05320403
0.11362420 -0.05528228
0.12372818 -0.05729516
0.13416463 -0.05924487
0.14492385 -0.06112621
0.15599513 -0.06293849
0.16736737 -0.06468336
0.17903032 -0.06635551
0.19097294 -0.06795385
0.20318476 -0.06947181
0.21565392 -0.07091176
0.22837007 -0.07226167
0.24132025 -0.07353190
0.25449379 -0.07470906
0.26787863 -0.07579077
0.28146226 -0.07677936
0.29523273 -0.07766713
0.30917822 -0.07843971
0.32328530 -0.07910627
0.33754135 -0.07966012
0.35193329 -0.08009949
0.36644795 -0.08042428
0.38107244 -0.08060506
0.39579295 -0.08062102
0.41059494 -0.08045598
0.42546329 -0.08009406
0.44038314 -0.07954319
0.45533875 -0.07878996
0.47031476 -0.07783449
0.48529609 -0.07668287
0.50026696 -0.07532952
0.51521812 -0.07383556
0.53013742 -0.07222053
0.54501076 -0.07048186
0.55982479 -0.06862417
0.57456988 -0.06667912
0.58923295 -0.06464883
0.60380521 -0.06256472
0.61827213 -0.06041585
0.63262256 -0.05821427
0.64684514 -0.05596929
0.66092882 -0.05369073
0.67486433 -0.05139797
0.68864105 -0.04910088
0.70224785 -0.04680521
0.71567608 -0.04453016
0.72891253 -0.04226712
0.74194723 -0.04002544
0.75477035 -0.03781428
0.76737136 -0.03563750
0.77974026 -0.03350110
0.79186883 -0.03141993
0.80374679 -0.02939609
0.81536431 -0.02743279
0.82671229 -0.02553636
0.83778159 -0.02371163
0.84856258 -0.02195912
0.85904709 -0.02028672
0.86922685 -0.01870050
0.87909339 -0.01720393
0.88863868 -0.01580185
0.89785448 -0.01449583
0.90673195 -0.01328164
0.91526308 -0.01215837
0.92344065 -0.01112902
0.93125655 -0.01018718
0.93870432 -0.00933724
0.94577681 -0.00857528
0.95246780 -0.00790287
0.95877061 -0.00731420
0.96467962 -0.00681042
0.97018893 -0.00638653
0.97529316 -0.00603874
0.97998722 -0.00576211
0.98426637 -0.00555152
0.98812627 -0.00540086
0.99156295 -0.00530360
0.99457289 -0.00525278
0.99715299 -0.00524168
0.99930056 -0.00526305
1.00101324 -0.00531261
