AH 93-K-132/15
1.00000000 0.00068000
0.97897000 0.00189000
0.96313000 0.00349000
0.94521000 0.00570000
0.92646000 0.00829000
0.90745000 0.01111000
0.88859000 0.01403000
0.87068000 0.01708000
0.85388000 0.02080000
0.83732000 0.02568000
0.82000000 0.03166000
0.80183000 0.03815000
0.78351000 0.04474000
0.76535000 0.05128000
0.74750000 0.05746000
0.72983000 0.06313000
0.71216000 0.06824000
0.69434000 0.07282000
0.67628000 0.07693000
0.65800000 0.08062000
0.63952000 0.08395000
0.62089000 0.08693000
0.60214000 0.08959000
0.58331000 0.09195000
0.56440000 0.09403000
0.54543000 0.09583000
0.52641000 0.09735000
0.50734000 0.09863000
0.48823000 0.09966000
0.46911000 0.10045000
0.44998000 0.10099000
0.43087000 0.10128000
0.41175000 0.10132000
0.39264000 0.10111000
0.37355000 0.10064000
0.35448000 0.09991000
0.33543000 0.09891000
0.31640000 0.09764000
0.29740000 0.09610000
0.27845000 0.09429000
0.25955000 0.09220000
0.24073000 0.08982000
0.22200000 0.08712000
0.20337000 0.08411000
0.18485000 0.08075000
0.16647000 0.07703000
0.14825000 0.07294000
0.13024000 0.06845000
0.11249000 0.06353000
0.09507000 0.05815000
0.07809000 0.05228000
0.06178000 0.04594000
0.04656000 0.03916000
0.03307000 0.03217000
0.02212000 0.02545000
0.01404000 0.01948000
0.00841000 0.01441000
0.00455000 0.01011000
0.00199000 0.00636000
0.00049000 0.00297000
0.00000000 0.00000000
0.00000000 0.00000000
0.00068000 -0.00291000
0.00291000 -0.00545000
0.00645000 -0.00766000
0.01135000 -0.00977000
0.01820000 -0.01197000
0.02792000 -0.01435000
0.04134000 -0.01683000
0.05781000 -0.01921000
0.07581000 -0.02128000
0.09454000 -0.02303000
0.11356000 -0.02447000
0.13267000 -0.02568000
0.15185000 -0.02667000
0.17117000 -0.02748000
0.19062000 -0.02815000
0.21011000 -0.02872000
0.22964000 -0.02918000
0.24925000 -0.02958000
0.26886000 -0.02992000
0.28845000 -0.03019000
0.30810000 -0.03041000
0.32779000 -0.03060000
0.34746000 -0.03076000
0.36708000 -0.03089000
0.38671000 -0.03094000
0.40639000 -0.03096000
0.42611000 -0.03096000
0.44581000 -0.03097000
0.46552000 -0.03099000
0.48520000 -0.03101000
0.50483000 -0.03098000
0.52449000 -0.03090000
0.55644000 -0.03073000
0.57639000 -0.03053000
0.59632000 -0.03028000
0.61624000 -0.02996000
0.63616000 -0.02957000
0.65606000 -0.02912000
0.67595000 -0.02859000
0.69582000 -0.02799000
0.71566000 -0.02729000
0.73546000 -0.02649000
0.75521000 -0.02558000
0.77490000 -0.02455000
0.79452000 -0.02340000
0.81399000 -0.02216000
0.83331000 -0.02081000
0.85241000 -0.01936000
0.87006000 -0.01791000
0.88577000 -0.01649000
0.90023000 -0.01505000
0.91399000 -0.01351000
0.92753000 -0.01180000
0.94171000 -0.00967000
0.95644000 -0.00695000
0.96941000 -0.00401000
0.98074000 -0.00190000
0.99147000 -0.00054000
1.00000000 -0.00017000
