AH 93-W-145
1.00000000 0.00033000
0.99893000 0.00067000
0.99572000 0.00172000
0.99039000 0.00330000
0.98296000 0.00533000
0.97347000 0.00775000
0.96194000 0.01054000
0.94844000 0.01364000
0.93301000 0.01699000
0.91573000 0.02056000
0.89668000 0.02435000
0.87592000 0.02838000
0.85355000 0.03269000
0.82967000 0.03730000
0.80438000 0.04225000
0.77779000 0.04751000
0.75000000 0.05305000
0.72114000 0.05880000
0.69134000 0.06472000
0.66072000 0.07075000
0.62941000 0.07682000
0.59755000 0.08286000
0.56526000 0.08882000
0.53270000 0.09454000
0.50000000 0.09979000
0.46730000 0.10427000
0.43474000 0.10771000
0.40245000 0.10996000
0.37059000 0.11094000
0.33928000 0.11066000
0.30866000 0.10919000
0.27886000 0.10668000
0.25000000 0.10325000
0.22221000 0.09904000
0.19562000 0.09414000
0.17033000 0.08864000
0.14645000 0.08263000
0.12408000 0.07617000
0.10332000 0.06933000
0.08427000 0.06218000
0.06699000 0.05480000
0.05156000 0.04727000
0.03806000 0.03970000
0.02653000 0.03216000
0.01704000 0.02478000
0.00961000 0.01774000
0.00428000 0.01121000
0.00107000 0.00533000
0.00000000 0.00000000
0.00000000 0.00000000
0.00107000 -0.00496000
0.00428000 -0.00964000
0.00961000 -0.01394000
0.01704000 -0.01787000
0.02653000 -0.02138000
0.03806000 -0.02442000
0.05156000 -0.02702000
0.06699000 -0.02921000
0.08427000 -0.03101000
0.10332000 -0.03246000
0.12408000 -0.03356000
0.14645000 -0.03436000
0.17033000 -0.03489000
0.19562000 -0.03521000
0.22221000 -0.03535000
0.25000000 -0.03531000
0.27886000 -0.03510000
0.30866000 -0.03473000
0.33928000 -0.03417000
0.37059000 -0.03342000
0.40245000 -0.03249000
0.43474000 -0.03137000
0.46730000 -0.03007000
0.50000000 -0.02860000
0.53270000 -0.02698000
0.56526000 -0.02523000
0.59755000 -0.02336000
0.62941000 -0.02140000
0.66072000 -0.01937000
0.69134000 -0.01728000
0.72114000 -0.01516000
0.75000000 -0.01303000
0.77779000 -0.01090000
0.80438000 -0.00882000
0.82967000 -0.00685000
0.85355000 -0.00506000
0.87592000 -0.00348000
0.89668000 -0.00215000
0.91573000 -0.00114000
0.93301000 -0.00048000
0.94844000 -0.00016000
0.96194000 -0.00012000
0.97347000 -0.00030000
0.98296000 -0.00064000
0.99039000 -0.00102000
0.99572000 -0.00135000
0.99893000 -0.00157000
1.00000000 -0.00162000
