NACA66(215)-216 a=0.6
1.00000000 0.00000000
0.95021000 0.00762000
0.90061000 0.01937000
0.85106000 0.03265000
0.80148000 0.04585000
0.75181000 0.05889000
0.70198000 0.07068000
0.65191000 0.08084000
0.60141000 0.08800000
0.55073000 0.09224000
0.50023000 0.09431000
0.44978000 0.09471000
0.39936000 0.09356000
0.34897000 0.09098000
0.29862000 0.08708000
0.24832000 0.08155000
0.19806000 0.07428000
0.14788000 0.06500000
0.09781000 0.05308000
0.07284000 0.04563000
0.04794000 0.03701000
0.02317000 0.02615000
0.01091000 0.01886000
0.00607000 0.01501000
0.00371000 0.01242000
0.00000000 0.00000000
0.00000000 0.00000000
0.00629000 -0.01112000
0.00893000 -0.01319000
0.01409000 -0.01608000
0.02683000 -0.02127000
0.05206000 -0.02869000
0.07716000 -0.03441000
0.10219000 -0.03934000
0.15212000 -0.04702000
0.20194000 -0.05290000
0.25168000 -0.05741000
0.30138000 -0.06080000
0.35103000 -0.06312000
0.40064000 -0.06462000
0.45022000 -0.06523000
0.49977000 -0.06483000
0.54927000 -0.06336000
0.59859000 -0.06048000
0.64809000 -0.05574000
0.69802000 -0.04866000
0.74819000 -0.04037000
0.79852000 -0.03107000
0.84894000 -0.02177000
0.89939000 -0.01235000
0.94979000 -0.00432000
1.00000000 0.00000000
