NACA 66A-619
1.00125256 -0.00549955
0.99730659 -0.00476435
0.99162192 -0.00349038
0.98424346 -0.00159843
0.97522182 0.00097803
0.96461379 0.00429665
0.95247588 0.00838887
0.93886876 0.01327873
0.92384876 0.01896097
0.90747281 0.02541837
0.88975582 0.03251784
0.87074580 0.04020020
0.85056198 0.04856841
0.82915608 0.05730564
0.80650851 0.06614199
0.78259747 0.07476128
0.75756332 0.08325338
0.73146745 0.09148054
0.70439208 0.09934389
0.67643254 0.10676881
0.64764754 0.11350329
0.61808107 0.11910716
0.58784331 0.12325365
0.55713069 0.12609850
0.52612496 0.12793755
0.49497200 0.12891256
0.46380412 0.12908360
0.43274931 0.12848738
0.40193332 0.12714713
0.37147905 0.12510042
0.34150766 0.12237414
0.31213674 0.11900927
0.28348110 0.11504437
0.25565510 0.11050339
0.22876962 0.10541942
0.20292799 0.09984963
0.17823332 0.09383474
0.15478434 0.08742160
0.13268186 0.08063990
0.11201701 0.07354488
0.09286148 0.06623560
0.07528402 0.05880011
0.05936465 0.05128998
0.04519195 0.04374216
0.03281592 0.03626844
0.02222725 0.02906275
0.01343719 0.02226368
0.00672997 0.01571597
0.00243705 0.00944351
0.00044868 0.00398256
0.00000000 0.00000000
0.00000000 0.00000000
0.00051202 -0.00383914
0.00308543 -0.00884428
0.00744049 -0.01476199
0.01471232 -0.02013120
0.02464690 -0.02420690
0.03652239 -0.02773609
0.05005727 -0.03125559
0.06520820 -0.03467582
0.08192878 -0.03788611
0.10013717 -0.04092887
0.11975504 -0.04383329
0.14070995 -0.04657715
0.16292810 -0.04911586
0.18632967 -0.05141559
0.21082566 -0.05349948
0.23632724 -0.05536179
0.26274264 -0.05699779
0.28997845 -0.05838074
0.31793746 -0.05949951
0.34651953 -0.06035893
0.37562323 -0.06094583
0.40514524 -0.06123737
0.43498033 -0.06122228
0.46502178 -0.06087403
0.49516162 -0.06018166
0.52529052 -0.05911630
0.55529670 -0.05762301
0.58505963 -0.05555724
0.61443440 -0.05261153
0.64326837 -0.04862447
0.67147741 -0.04394382
0.69902231 -0.03902038
0.72584637 -0.03410339
0.75186838 -0.02927525
0.77702006 -0.02467126
0.80124190 -0.02046484
0.82451040 -0.01707596
0.84669556 -0.01426295
0.86768837 -0.01182401
0.88739425 -0.00959228
0.90576899 -0.00781178
0.92273918 -0.00642968
0.93823681 -0.00538567
0.95220443 -0.00468197
0.96458813 -0.00430228
0.97533856 -0.00420732
0.98441235 -0.00435252
0.99177320 -0.00466823
0.99739304 -0.00507884
1.00125256 -0.00549955
