NACA 67,1-215
1.00000000 0.00000000
0.95037000 0.01103000
0.90071000 0.02537000
0.85092000 0.03999000
0.80100000 0.05335000
0.75098000 0.06515000
0.70086000 0.07373000
0.65068000 0.07935000
0.60047000 0.08302000
0.55024000 0.08516000
0.50000000 0.08600000
0.44976000 0.08570000
0.39953000 0.08430000
0.34930000 0.08185000
0.29908000 0.07825000
0.24887000 0.07348000
0.19869000 0.06735000
0.14854000 0.05954000
0.09845000 0.04947000
0.07344000 0.04321000
0.04848000 0.03557000
0.02361000 0.02577000
0.01128000 0.01867000
0.00642000 0.01460000
0.00402000 0.01213000
0.00000000 0.00000000
0.00000000 0.00000000
0.00598000 -0.01113000
0.00858000 -0.01320000
0.01372000 -0.01653000
0.02639000 -0.02205000
0.05152000 -0.02925000
0.07656000 -0.03473000
0.10155000 -0.03913000
0.15146000 -0.04608000
0.20131000 -0.05143000
0.25113000 -0.05558000
0.30092000 -0.05881000
0.35070000 -0.06125000
0.40047000 -0.06288000
0.45024000 -0.06380000
0.50000000 -0.06394000
0.54976000 -0.06326000
0.59953000 -0.06160000
0.64932000 -0.05875000
0.69914000 -0.05429000
0.74902000 -0.04725000
0.79900000 -0.03743000
0.84908000 -0.02653000
0.89929000 -0.01503000
0.94963000 -0.00471000
1.00000000 0.00000000
