AH-7-47-6 AIRFOIL
1.00000000 0.00350000
0.89985000 0.03405000
0.79975000 0.05460000
0.69968000 0.07065000
0.59964000 0.08070000
0.49961000 0.08625000
0.39960000 0.08780000
0.29961000 0.08585000
0.19966000 0.07590000
0.14970000 0.06767000
0.09975000 0.05645000
0.07478000 0.04884000
0.04982000 0.03922000
0.02488000 0.02711000
0.01242000 0.01806000
0.00000000 0.00000000
0.00000000 0.00000000
0.01254000 -0.00794000
0.02503000 -0.00589000
0.05001000 -0.00327000
0.07500000 0.00034000
0.09998000 0.00345000
0.14995000 0.01067000
0.19992000 0.01690000
0.29988000 0.02735000
0.39985000 0.03430000
0.49983000 0.03775000
0.59983000 0.03870000
0.69984000 0.03615000
0.79987000 0.02910000
0.89992990 0.01605000
1.00000000 -0.00350000
