NACA-M1 AIRFOIL
1.00000000 0.00200000
0.95000000 0.00570000
0.90000000 0.00910000
0.80000000 0.01540000
0.70000000 0.02080000
0.60000000 0.02530000
0.50000000 0.02850000
0.40000000 0.03050000
0.30000000 0.03080000
0.20000000 0.02880000
0.15000000 0.02670000
0.10000000 0.02340000
0.07500000 0.02100000
0.05000000 0.01800000
0.02500000 0.01360000
0.01250000 0.01030000
0.00000000 0.00000000
0.00000000 0.00000000
0.01250000 -0.01030000
0.02500000 -0.01360000
0.05000000 -0.01800000
0.07500000 -0.02100000
0.10000000 -0.02340000
0.15000000 -0.02670000
0.20000000 -0.02880000
0.30000000 -0.03080000
0.40000000 -0.03050000
0.50000000 -0.02850000
0.60000000 -0.02530000
0.70000000 -0.02080000
0.80000000 -0.01540000
0.90000000 -0.00910000
0.95000000 -0.00570000
1.00000000 -0.00200000
