HSNLF(1)-0213 AIRFOIL
1.00000000 0.00066990
0.98996980 0.00151540
0.97995750 0.00240500
0.97495090 0.00288590
0.94991370 0.00558080
0.92487280 0.00853710
0.91986380 0.00918760
0.89982610 0.01192080
0.87477440 0.01565660
0.84971560 0.01990730
0.82465190 0.02450920
0.81963880 0.02546040
0.79958430 0.02939320
0.77952680 0.03354630
0.77451220 0.03459930
0.74943810 0.03995380
0.72436100 0.04552400
0.69928460 0.05103530
0.67922550 0.05530660
0.67421120 0.05633900
0.64914380 0.06120470
0.62408460 0.06548730
0.59903480 0.06909510
0.57399400 0.07205120
0.54896150 0.07440170
0.52393610 0.07624160
0.49891730 0.07761880
0.47390370 0.07861150
0.44889520 0.07924290
0.42389110 0.07955380
0.39889150 0.07954020
0.37389610 0.07922440
0.34890500 0.07859580
0.32391830 0.07765670
0.29893620 0.07638690
0.27395880 0.07477810
0.24898620 0.07282050
0.22401890 0.07048070
0.19905720 0.06774280
0.17410170 0.06455650
0.14915340 0.06085030
0.12421340 0.05654800
0.09928330 0.05152900
0.08931490 0.04926640
0.07934880 0.04683030
0.05942560 0.04131460
0.04947000 0.03812380
0.03951970 0.03455130
0.02957650 0.03046620
0.01964550 0.02550930
0.00973870 0.01880410
0.00481130 0.01357960
0.00236570 0.00966950
0.00187980 0.00865230
0.00139600 0.00748930
0.00091520 0.00610140
0.00067680 0.00527220
0.00044040 0.00428960
0.00020810 0.00301560
0.00000000 0.00000000
0.00000000 0.00000000
0.00027220 -0.00159520
0.00053190 -0.00229480
0.00078960 -0.00284940
0.00104620 -0.00333030
0.00155790 -0.00416860
0.00206800 -0.00489370
0.00257680 -0.00552880
0.00510950 -0.00788690
0.01015350 -0.01106000
0.02021140 -0.01523080
0.03025500 -0.01837880
0.04029120 -0.02099030
0.05032190 -0.02320640
0.06034920 -0.02518200
0.08039720 -0.02864940
0.09041880 -0.03020690
0.10043910 -0.03167990
0.12548490 -0.03498920
0.15052470 -0.03787690
0.17555940 -0.04039260
0.20058940 -0.04256880
0.22561610 -0.04450360
0.25063980 -0.04623100
0.27566080 -0.04775300
0.30067910 -0.04909180
0.32569500 -0.05025230
0.35070840 -0.05123140
0.37571900 -0.05201250
0.40072700 -0.05260500
0.42573240 -0.05300640
0.45073490 -0.05320880
0.47573450 -0.05319650
0.50073190 -0.05302590
0.52572730 -0.05271970
0.55071930 -0.05215300
0.57570760 -0.05132650
0.60069210 -0.05022140
0.62567200 -0.04879280
0.65064550 -0.04690200
0.67561130 -0.04445860
0.68060350 -0.04389630
0.70056570 -0.04119850
0.72549710 -0.03627190
0.75041860 -0.03063820
0.77535370 -0.02598080
0.78034220 -0.02515330
0.80029830 -0.02201490
0.82025780 -0.01910280
0.82524810 -0.01840890
0.85020250 -0.01514100
0.87516090 -0.01216850
0.90012190 -0.00937510
0.92009210 -0.00724010
0.92508480 -0.00672550
0.95005120 -0.00432300
0.97502270 -0.00228550
0.98001780 -0.00193290
0.99000860 -0.00127570
1.00000000 -0.00066990
