NASA  NLF1015
0.99992000 -0.00117000
0.99649000 0.00029000
0.98704000 0.00466000
0.97290000 0.01131000
0.95438000 0.01906000
0.93117000 0.02748000
0.90342000 0.03671000
0.87169000 0.04671000
0.83651000 0.05723000
0.79845000 0.06798000
0.75804000 0.07864000
0.71581000 0.08883000
0.67228000 0.09816000
0.62791000 0.10615000
0.58291000 0.11220000
0.53718000 0.11610000
0.49077000 0.11805000
0.44408000 0.11830000
0.39763000 0.11698000
0.35188000 0.11418000
0.30733000 0.10998000
0.26441000 0.10447000
0.22356000 0.09775000
0.18519000 0.08993000
0.14966000 0.08115000
0.11732000 0.07156000
0.08847000 0.06132000
0.06335000 0.05062000
0.04218000 0.03968000
0.02513000 0.02878000
0.01233000 0.01821000
0.00390000 0.00840000
0.00000000 0.00000000
0.00000000 0.00000000
0.00200000 -0.00652000
0.01045000 -0.01205000
0.02448000 -0.01725000
0.04381000 -0.02188000
0.06820000 -0.02583000
0.09741000 -0.02908000
0.13111000 -0.03163000
0.16895000 -0.03347000
0.21048000 -0.03463000
0.25521000 -0.03514000
0.30262000 -0.03501000
0.35213000 -0.03423000
0.40311000 -0.03277000
0.45493000 -0.03058000
0.50691000 -0.02737000
0.55887000 -0.02267000
0.61111000 -0.01666000
0.66344000 -0.01012000
0.71521000 -0.00373000
0.76568000 0.00194000
0.81397000 0.00638000
0.85905000 0.00918000
0.89979000 0.01010000
0.93502000 0.00915000
0.96355000 0.00655000
0.98414000 0.00299000
0.99609000 -0.00003000
0.99992000 -0.00117000
