RAF-48 AIRFOIL
1.00000000 0.00000000
0.95000000 0.01005000
0.90000000 0.01950000
0.80000000 0.04020000
0.70000000 0.06050000
0.60000000 0.07940000
0.50000000 0.09380000
0.40000000 0.10200000
0.30000000 0.10400000
0.20000000 0.09530000
0.15000000 0.08630000
0.10000000 0.07300000
0.07500000 0.06390000
0.05000000 0.05200000
0.02500000 0.03650000
0.01250000 0.02600000
0.00000000 0.00000000
0.00000000 0.00000000
0.01250000 -0.01650000
0.02500000 -0.02340000
0.05000000 -0.03160000
0.07500000 -0.03690000
0.10000000 -0.04030000
0.15000000 -0.04410000
0.20000000 -0.04580000
0.30000000 -0.04560000
0.40000000 -0.04330000
0.50000000 -0.03900000
0.60000000 -0.03360000
0.70000000 -0.02650000
0.80000000 -0.01830000
0.90000000 -0.01000000
0.95000000 -0.00640000
1.00000000 0.00000000
