GA 30-413.5
1.00000000 0.00000000
0.95000000 0.01049000
0.90000000 0.02101000
0.85000000 0.03151000
0.80000000 0.04201000
0.75000000 0.05252000
0.70000000 0.06266000
0.65000000 0.07190000
0.60000000 0.07997000
0.55000000 0.08681000
0.50000000 0.09223000
0.45000000 0.09596000
0.40000000 0.09807000
0.35000000 0.09871000
0.30000000 0.09761000
0.25000000 0.09460000
0.20000000 0.08927000
0.15000000 0.08098000
0.10000000 0.06864000
0.07500000 0.06032000
0.05000000 0.04968000
0.02500000 0.03511000
0.01250000 0.02453000
0.00750000 0.01883000
0.00500000 0.01526000
0.00250000 0.01063000
0.00000000 0.00000000
0.00000000 0.00000000
0.00250000 -0.00899000
0.00500000 -0.01222000
0.00750000 -0.01457000
0.01250000 -0.01807000
0.02500000 -0.02371000
0.05000000 -0.03028000
0.07500000 -0.03418000
0.10000000 -0.03670000
0.15000000 -0.03926000
0.20000000 -0.03981000
0.25000000 -0.03908000
0.30000000 -0.03741000
0.35000000 -0.03521000
0.40000000 -0.03269000
0.45000000 -0.03004000
0.50000000 -0.02755000
0.55000000 -0.02551000
0.60000000 -0.02361000
0.65000000 -0.02152000
0.70000000 -0.01906000
0.75000000 -0.01618000
0.80000000 -0.01293000
0.85000000 -0.00971000
0.90000000 -0.00647000
0.95000000 -0.00323000
1.00000000 0.00000000
