GA 30U-612
1.00000000 0.00000000
0.95000000 0.01099000
0.90000000 0.02201000
0.85000000 0.03301000
0.80000000 0.04401000
0.75000000 0.05532000
0.70000000 0.06605000
0.65000000 0.07587000
0.60000000 0.08447000
0.55000000 0.09171000
0.50000000 0.09734000
0.45000000 0.10094000
0.40000000 0.10270000
0.35000000 0.10281000
0.30000000 0.10106000
0.25000000 0.09728000
0.20000000 0.09110000
0.15000000 0.08189000
0.10000000 0.06860000
0.07500000 0.05982000
0.05000000 0.04877000
0.02500000 0.03391000
0.01250000 0.02335000
0.00750000 0.01776000
0.00500000 0.01429000
0.00250000 0.00984000
0.00000000 0.00000000
0.00000000 0.00000000
0.00250000 -0.00760000
0.00500000 -0.01015000
0.00750000 -0.01194000
0.01250000 -0.01453000
0.02500000 -0.01837000
0.05000000 -0.02231000
0.07500000 -0.02418000
0.10000000 -0.02504000
0.15000000 -0.02501000
0.20000000 -0.02366000
0.25000000 -0.02156000
0.30000000 -0.01898000
0.35000000 -0.01623000
0.40000000 -0.01354000
0.45000000 -0.01106000
0.50000000 -0.00914000
0.55000000 -0.00813000
0.60000000 -0.00761000
0.65000000 -0.00717000
0.70000000 -0.00659000
0.75000000 -0.00576000
0.80000000 -0.00483000
0.85000000 -0.00363000
0.90000000 -0.00243000
0.95000000 -0.00121000
1.00000000 0.00000000
