GA 35A219
1.00000000 0.00040000
0.95000000 0.01175000
0.90000000 0.02311000
0.85000000 0.03447000
0.80000000 0.04581000
0.75000000 0.05716000
0.70000000 0.06848000
0.65000000 0.07926000
0.60000000 0.08909000
0.55000000 0.09762000
0.50000000 0.10450000
0.45000000 0.10931000
0.40000000 0.11197000
0.35000000 0.11231000
0.30000000 0.11016000
0.25000000 0.10538000
0.20000000 0.09804000
0.15000000 0.08770000
0.10000000 0.07352000
0.07500000 0.06442000
0.05000000 0.05297000
0.02500000 0.03716000
0.01250000 0.02598000
0.00750000 0.02003000
0.00500000 0.01639000
0.00250000 0.01168000
0.00000000 0.00000000
0.00000000 0.00000000
0.00250000 -0.01048000
0.00500000 -0.01407000
0.00750000 -0.01665000
0.01250000 -0.02072000
0.02500000 -0.02816000
0.05000000 -0.03867000
0.07500000 -0.04658000
0.10000000 -0.05306000
0.15000000 -0.06282000
0.20000000 -0.06964000
0.25000000 -0.07424000
0.30000000 -0.07690000
0.35000000 -0.07757000
0.40000000 -0.07637000
0.45000000 -0.07347000
0.50000000 -0.06922000
0.55000000 -0.06418000
0.60000000 -0.05835000
0.65000000 -0.05178000
0.70000000 -0.04470000
0.75000000 -0.03734000
0.80000000 -0.02995000
0.85000000 -0.02257000
0.90000000 -0.01519000
0.95000000 -0.00779000
1.00000000 -0.00040000
