GA 40-414
1.00000000 0.00000000
0.95000000 0.00762000
0.90000000 0.01794000
0.85000000 0.02935000
0.80000000 0.04121000
0.75000000 0.05311000
0.70000000 0.06473000
0.65000000 0.07561000
0.60000000 0.08528000
0.55000000 0.09337000
0.50000000 0.09924000
0.45000000 0.10227000
0.40000000 0.10267000
0.35000000 0.10077000
0.30000000 0.09685000
0.25000000 0.09089000
0.20000000 0.08281000
0.15000000 0.07223000
0.10000000 0.05848000
0.07500000 0.05002000
0.05000000 0.03998000
0.02500000 0.02739000
0.01250000 0.01911000
0.00750000 0.01478000
0.00500000 0.01201000
0.00250000 0.00856000
0.00000000 0.00000000
0.00000000 0.00000000
0.00250000 -0.00692000
0.00500000 -0.00897000
0.00750000 -0.01052000
0.01250000 -0.01265000
0.02500000 -0.01599000
0.05000000 -0.02058000
0.07500000 -0.02388000
0.10000000 -0.02654000
0.15000000 -0.03051000
0.20000000 -0.03335000
0.25000000 -0.03537000
0.30000000 -0.03665000
0.35000000 -0.03727000
0.40000000 -0.03729000
0.45000000 -0.03635000
0.50000000 -0.03456000
0.55000000 -0.03207000
0.60000000 -0.02892000
0.65000000 -0.02523000
0.70000000 -0.02113000
0.75000000 -0.01677000
0.80000000 -0.01213000
0.85000000 -0.00755000
0.90000000 -0.00340000
0.95000000 -0.00036000
1.00000000 0.00000000
