AS5048 (18%)
0.99986000 -0.00089000
0.99781000 0.00022000
0.99247000 0.00287000
0.98415000 0.00595000
0.97257000 0.00959000
0.95823000 0.01356000
0.94098000 0.01751000
0.92058000 0.02157000
0.89718000 0.02583000
0.87097000 0.03041000
0.84217000 0.03534000
0.81100000 0.04075000
0.77779000 0.04667000
0.74290000 0.05324000
0.70694000 0.06042000
0.67049000 0.06806000
0.63414000 0.07573000
0.59837000 0.08253000
0.56270000 0.08805000
0.52674000 0.09229000
0.49057000 0.09537000
0.45431000 0.09747000
0.41818000 0.09867000
0.38237000 0.09901000
0.34711000 0.09855000
0.31261000 0.09733000
0.27910000 0.09537000
0.24681000 0.09266000
0.21589000 0.08922000
0.18649000 0.08508000
0.15877000 0.08032000
0.13295000 0.07500000
0.10922000 0.06913000
0.08771000 0.06263000
0.06838000 0.05553000
0.05132000 0.04802000
0.03660000 0.04015000
0.02424000 0.03205000
0.01440000 0.02386000
0.00707000 0.01566000
0.00226000 0.00764000
0.00000000 0.00000000
0.00000000 0.00000000
0.00027000 -0.00663000
0.00427000 -0.01229000
0.01234000 -0.01795000
0.02363000 -0.02389000
0.03784000 -0.03004000
0.05468000 -0.03629000
0.07398000 -0.04247000
0.09560000 -0.04845000
0.11937000 -0.05413000
0.14518000 -0.05938000
0.17292000 -0.06416000
0.20242000 -0.06842000
0.23352000 -0.07215000
0.26599000 -0.07529000
0.29966000 -0.07779000
0.33430000 -0.07961000
0.36972000 -0.08070000
0.40569000 -0.08103000
0.44198000 -0.08056000
0.47832000 -0.07913000
0.51462000 -0.07661000
0.55074000 -0.07285000
0.58688000 -0.06768000
0.62320000 -0.06132000
0.65982000 -0.05404000
0.69703000 -0.04644000
0.73409000 -0.03937000
0.77015000 -0.03316000
0.80475000 -0.02770000
0.83745000 -0.02294000
0.86786000 -0.01889000
0.89561000 -0.01548000
0.92034000 -0.01260000
0.94171000 -0.01002000
0.96004000 -0.00710000
0.97594000 -0.00443000
0.98872000 -0.00329000
0.99699000 -0.00348000
0.99986000 -0.00388000
