S1223 RTL
1.00000800 -0.00060300
0.99359000 0.00457100
0.98424500 0.01211800
0.97346000 0.01935600
0.96062900 0.02611500
0.94518100 0.03282800
0.92665100 0.03982300
0.90488800 0.04713600
0.88017500 0.05464600
0.85315900 0.06217800
0.82459700 0.06956700
0.79513800 0.07668200
0.76524700 0.08342700
0.73521200 0.08972600
0.70515600 0.09552800
0.67507800 0.10080700
0.64489600 0.10556500
0.61447500 0.10982600
0.58366400 0.11363800
0.55231200 0.11706900
0.52032200 0.12020800
0.48770500 0.12314700
0.45461300 0.12596200
0.42134500 0.12868700
0.38833300 0.13129600
0.35606700 0.13369300
0.32506900 0.13573600
0.29587700 0.13724500
0.26882900 0.13800400
0.24382400 0.13781500
0.22050100 0.13656500
0.19852500 0.13421500
0.17766900 0.13075000
0.15778000 0.12616900
0.13878200 0.12049100
0.12066600 0.11376100
0.10348600 0.10605100
0.08735500 0.09750300
0.07246800 0.08836300
0.05907300 0.07899300
0.04738400 0.06979500
0.03747700 0.06109900
0.02926700 0.05305800
0.02255600 0.04567800
0.01711100 0.03890300
0.01270900 0.03267400
0.00916100 0.02693500
0.00632200 0.02163200
0.00408400 0.01671200
0.00237300 0.01212400
0.00113600 0.00782900
0.00034600 0.00379400
0.00000000 0.00000000
0.00000000 0.00000000
0.00014800 -0.00361800
0.00104800 -0.00713500
0.00310100 -0.01019700
0.00627900 -0.01239600
0.01020500 -0.01381200
0.01471400 -0.01473300
0.01984400 -0.01534100
0.02573600 -0.01573100
0.03261100 -0.01594300
0.04079200 -0.01596600
0.05075300 -0.01576000
0.06316800 -0.01525100
0.07890000 -0.01432900
0.09868900 -0.01286600
0.12242900 -0.01073200
0.14904400 -0.00780800
0.17762000 -0.00402500
0.20791900 0.00053900
0.23971500 0.00564800
0.27250800 0.01106200
0.30576000 0.01660200
0.33893800 0.02210100
0.37173400 0.02742700
0.40404600 0.03248600
0.43585500 0.03719500
0.46717100 0.04148600
0.49803900 0.04529800
0.52850200 0.04858000
0.55862400 0.05129500
0.58845100 0.05340800
0.61803500 0.05489600
0.64741000 0.05573600
0.67662400 0.05591300
0.70569500 0.05541500
0.73464400 0.05423600
0.76344600 0.05237300
0.79205700 0.04982900
0.82034800 0.04661500
0.84808300 0.04276700
0.87484300 0.03834300
0.90001900 0.03345700
0.92292600 0.02825300
0.94307200 0.02286000
0.96036000 0.01735100
0.97500900 0.01177100
0.98734900 0.00619900
1.00000800 -0.00060300
