S8038 (13%)
0.99987000 0.00157000
0.99770000 0.00192000
0.99162000 0.00319000
0.98229000 0.00525000
0.96999000 0.00773000
0.95465000 0.01038000
0.93626000 0.01325000
0.91493000 0.01642000
0.89089000 0.01989000
0.86432000 0.02365000
0.83546000 0.02768000
0.80454000 0.03194000
0.77181000 0.03639000
0.73752000 0.04098000
0.70194000 0.04563000
0.66534000 0.05027000
0.62800000 0.05482000
0.59018000 0.05913000
0.55207000 0.06311000
0.51393000 0.06668000
0.47595000 0.06971000
0.43827000 0.07214000
0.40113000 0.07395000
0.36468000 0.07506000
0.32904000 0.07550000
0.29443000 0.07525000
0.26102000 0.07431000
0.22896000 0.07274000
0.19844000 0.07055000
0.16962000 0.06775000
0.14267000 0.06441000
0.11776000 0.06056000
0.09504000 0.05621000
0.07466000 0.05136000
0.05668000 0.04602000
0.04122000 0.04026000
0.02832000 0.03399000
0.01784000 0.02725000
0.00983000 0.02035000
0.00428000 0.01328000
0.00097000 0.00628000
0.00000000 0.00000000
0.00000000 0.00000000
0.00233000 -0.00544000
0.00826000 -0.01070000
0.01713000 -0.01603000
0.02883000 -0.02127000
0.04318000 -0.02634000
0.06014000 -0.03113000
0.07961000 -0.03559000
0.10146000 -0.03965000
0.12561000 -0.04326000
0.15192000 -0.04643000
0.18025000 -0.04908000
0.21046000 -0.05122000
0.24237000 -0.05285000
0.27579000 -0.05393000
0.31055000 -0.05449000
0.34644000 -0.05450000
0.38324000 -0.05397000
0.42073000 -0.05290000
0.45871000 -0.05124000
0.49704000 -0.04899000
0.53544000 -0.04618000
0.57386000 -0.04278000
0.61226000 -0.03894000
0.65035000 -0.03488000
0.68786000 -0.03073000
0.72451000 -0.02662000
0.76001000 -0.02263000
0.79406000 -0.01886000
0.82638000 -0.01537000
0.85667000 -0.01221000
0.88466000 -0.00942000
0.91008000 -0.00700000
0.93267000 -0.00494000
0.95221000 -0.00320000
0.96852000 -0.00169000
0.98158000 -0.00029000
0.99138000 0.00083000
0.99766000 0.00145000
0.99987000 0.00157000
