S8052 (11.88%)
0.99999000 0.00037000
0.99802000 0.00055000
0.99230000 0.00116000
0.98300000 0.00218000
0.97021000 0.00367000
0.95411000 0.00570000
0.93490000 0.00827000
0.91279000 0.01141000
0.88803000 0.01509000
0.86086000 0.01928000
0.83154000 0.02394000
0.80035000 0.02900000
0.76758000 0.03437000
0.73350000 0.03994000
0.69840000 0.04561000
0.66258000 0.05120000
0.62634000 0.05654000
0.58983000 0.06125000
0.55298000 0.06519000
0.51587000 0.06851000
0.47872000 0.07118000
0.44168000 0.07320000
0.40500000 0.07460000
0.36886000 0.07535000
0.33343000 0.07548000
0.29895000 0.07498000
0.26559000 0.07388000
0.23356000 0.07219000
0.20303000 0.06994000
0.17421000 0.06713000
0.14726000 0.06378000
0.12233000 0.05988000
0.09955000 0.05547000
0.07906000 0.05049000
0.06084000 0.04495000
0.04492000 0.03901000
0.03139000 0.03271000
0.02024000 0.02616000
0.01164000 0.01953000
0.00551000 0.01277000
0.00162000 0.00606000
0.00000000 0.00000000
0.00000000 0.00000000
0.00146000 -0.00503000
0.00650000 -0.00948000
0.01470000 -0.01390000
0.02582000 -0.01823000
0.03976000 -0.02234000
0.05641000 -0.02617000
0.07568000 -0.02966000
0.09748000 -0.03279000
0.12168000 -0.03553000
0.14817000 -0.03787000
0.17677000 -0.03981000
0.20734000 -0.04134000
0.23969000 -0.04246000
0.27363000 -0.04317000
0.30895000 -0.04348000
0.34544000 -0.04340000
0.38287000 -0.04294000
0.42099000 -0.04211000
0.45956000 -0.04090000
0.49833000 -0.03930000
0.53701000 -0.03721000
0.57555000 -0.03457000
0.61388000 -0.03148000
0.65180000 -0.02806000
0.68915000 -0.02444000
0.72567000 -0.02079000
0.76112000 -0.01725000
0.79517000 -0.01396000
0.82750000 -0.01099000
0.85781000 -0.00839000
0.88580000 -0.00619000
0.91120000 -0.00438000
0.93376000 -0.00293000
0.95324000 -0.00181000
0.96949000 -0.00091000
0.98245000 -0.00019000
0.99203000 0.00026000
0.99797000 0.00039000
0.99999000 0.00037000
