SD2083 (9.0%)
0.99997000 -0.00060000
0.99666000 -0.00025000
0.98683000 0.00092000
0.97086000 0.00314000
0.94926000 0.00656000
0.92262000 0.01116000
0.89155000 0.01681000
0.85663000 0.02324000
0.81843000 0.03018000
0.77742000 0.03731000
0.73409000 0.04429000
0.68883000 0.05086000
0.64205000 0.05677000
0.59412000 0.06183000
0.54543000 0.06595000
0.49642000 0.06904000
0.44752000 0.07102000
0.39910000 0.07191000
0.35165000 0.07176000
0.30565000 0.07061000
0.26157000 0.06848000
0.21987000 0.06541000
0.18098000 0.06143000
0.14529000 0.05658000
0.11310000 0.05083000
0.08461000 0.04429000
0.06001000 0.03712000
0.03949000 0.02950000
0.02316000 0.02164000
0.01110000 0.01380000
0.00335000 0.00638000
0.00000000 0.00000000
0.00000000 0.00000000
0.00217000 -0.00497000
0.01029000 -0.00913000
0.02366000 -0.01273000
0.04231000 -0.01551000
0.06621000 -0.01756000
0.09512000 -0.01904000
0.12865000 -0.01997000
0.16646000 -0.02037000
0.20815000 -0.02030000
0.25328000 -0.01981000
0.30134000 -0.01897000
0.35179000 -0.01785000
0.40403000 -0.01652000
0.45747000 -0.01499000
0.51154000 -0.01334000
0.56560000 -0.01165000
0.61902000 -0.00999000
0.67114000 -0.00842000
0.72133000 -0.00697000
0.76898000 -0.00569000
0.81347000 -0.00457000
0.85425000 -0.00364000
0.89081000 -0.00286000
0.92267000 -0.00217000
0.94952000 -0.00154000
0.97105000 -0.00104000
0.98690000 -0.00075000
0.99667000 -0.00064000
0.99998000 -0.00060000
