SD8040 (10%)
0.99996000 -0.00101000
0.99663000 -0.00064000
0.98680000 0.00061000
0.97089000 0.00296000
0.94942000 0.00647000
0.92295000 0.01107000
0.89201000 0.01656000
0.85713000 0.02268000
0.81877000 0.02917000
0.77735000 0.03574000
0.73327000 0.04220000
0.68695000 0.04841000
0.63889000 0.05426000
0.58962000 0.05959000
0.53965000 0.06429000
0.48949000 0.06824000
0.43966000 0.07132000
0.39066000 0.07343000
0.34296000 0.07451000
0.29702000 0.07449000
0.25328000 0.07333000
0.21214000 0.07100000
0.17394000 0.06749000
0.13899000 0.06285000
0.10757000 0.05713000
0.07990000 0.05043000
0.05616000 0.04288000
0.03649000 0.03464000
0.02095000 0.02593000
0.00963000 0.01708000
0.00267000 0.00837000
0.00000000 0.00000000
0.00000000 0.00000000
0.00153000 -0.00683000
0.00841000 -0.01198000
0.02116000 -0.01643000
0.03921000 -0.02012000
0.06237000 -0.02303000
0.09042000 -0.02514000
0.12313000 -0.02647000
0.16019000 -0.02710000
0.20121000 -0.02711000
0.24572000 -0.02659000
0.29322000 -0.02557000
0.34320000 -0.02412000
0.39509000 -0.02231000
0.44832000 -0.02022000
0.50228000 -0.01791000
0.55636000 -0.01546000
0.60995000 -0.01294000
0.66245000 -0.01044000
0.71323000 -0.00805000
0.76170000 -0.00588000
0.80722000 -0.00402000
0.84917000 -0.00254000
0.88696000 -0.00145000
0.92006000 -0.00075000
0.94799000 -0.00039000
0.97032000 -0.00037000
0.98664000 -0.00057000
0.99661000 -0.00087000
0.99996000 -0.00101000
