SELIG 3002-099-83
0.99952000 -0.00360000
0.99628000 -0.00312000
0.98675000 -0.00155000
0.97143000 0.00123000
0.95083000 0.00507000
0.92528000 0.00970000
0.89505000 0.01502000
0.86056000 0.02103000
0.82238000 0.02764000
0.78113000 0.03465000
0.73739000 0.04178000
0.69166000 0.04866000
0.64433000 0.05508000
0.59586000 0.06081000
0.54663000 0.06570000
0.49710000 0.06968000
0.44772000 0.07267000
0.39896000 0.07463000
0.35130000 0.07555000
0.30524000 0.07540000
0.26125000 0.07416000
0.21978000 0.07177000
0.18117000 0.06821000
0.14571000 0.06351000
0.11369000 0.05775000
0.08535000 0.05100000
0.06087000 0.04341000
0.04039000 0.03513000
0.02402000 0.02640000
0.01186000 0.01745000
0.00392000 0.00851000
0.00000000 0.00000000
0.00000000 0.00000000
0.00003000 -0.00693000
0.00554000 -0.01191000
0.01730000 -0.01583000
0.03459000 -0.01904000
0.05715000 -0.02156000
0.08474000 -0.02336000
0.11713000 -0.02447000
0.15401000 -0.02505000
0.19489000 -0.02519000
0.23928000 -0.02496000
0.28663000 -0.02438000
0.33636000 -0.02348000
0.38787000 -0.02229000
0.44054000 -0.02077000
0.49376000 -0.01887000
0.54702000 -0.01654000
0.59979000 -0.01380000
0.65151000 -0.01057000
0.70202000 -0.00671000
0.75138000 -0.00279000
0.79884000 0.00022000
0.84318000 0.00190000
0.88325000 0.00230000
0.91815000 0.00167000
0.94722000 0.00042000
0.97004000 -0.00103000
0.98640000 -0.00235000
0.99624000 -0.00327000
0.99952000 -0.00360000
