A18 (smoothed)
1.00000000 0.00307000
0.99754000 0.00365000
0.99070000 0.00530000
0.98037000 0.00771000
0.96698000 0.01070000
0.95044000 0.01421000
0.93064000 0.01819000
0.90775000 0.02253000
0.88202000 0.02712000
0.85370000 0.03185000
0.82309000 0.03661000
0.79048000 0.04132000
0.75616000 0.04591000
0.72043000 0.05029000
0.68359000 0.05440000
0.64594000 0.05819000
0.60778000 0.06160000
0.56937000 0.06458000
0.53099000 0.06710000
0.49265000 0.06911000
0.45435000 0.07058000
0.41638000 0.07143000
0.37887000 0.07157000
0.34204000 0.07094000
0.30609000 0.06951000
0.27120000 0.06733000
0.23760000 0.06451000
0.20549000 0.06114000
0.17504000 0.05734000
0.14648000 0.05315000
0.11999000 0.04860000
0.09576000 0.04368000
0.07395000 0.03839000
0.05468000 0.03277000
0.03811000 0.02694000
0.02433000 0.02103000
0.01338000 0.01513000
0.00548000 0.00932000
0.00098000 0.00376000
0.00000000 0.00000000
0.00000000 0.00000000
0.00098000 -0.00348000
0.00548000 -0.00770000
0.01338000 -0.01118000
0.02433000 -0.01388000
0.03811000 -0.01581000
0.05468000 -0.01699000
0.07395000 -0.01740000
0.09576000 -0.01708000
0.11999000 -0.01611000
0.14648000 -0.01461000
0.17504000 -0.01269000
0.20549000 -0.01047000
0.23760000 -0.00805000
0.27120000 -0.00550000
0.30609000 -0.00290000
0.34204000 -0.00033000
0.37887000 0.00209000
0.41638000 0.00429000
0.45435000 0.00617000
0.49265000 0.00773000
0.53099000 0.00895000
0.56937000 0.00984000
0.60778000 0.01042000
0.64594000 0.01067000
0.68359000 0.01060000
0.72043000 0.01022000
0.75616000 0.00954000
0.79048000 0.00858000
0.82309000 0.00738000
0.85370000 0.00600000
0.88202000 0.00450000
0.90775000 0.00297000
0.93064000 0.00149000
0.95044000 0.00015000
0.96698000 -0.00098000
0.98037000 -0.00187000
0.99070000 -0.00252000
0.99754000 -0.00292000
1.00000000 -0.00306000
