BE50 (original)
1.00000000 -0.01011000
0.95000000 -0.00001000
0.90000000 0.01005000
0.80000000 0.02685000
0.70000000 0.04043000
0.60000000 0.05218000
0.55000000 0.05720000
0.50000000 0.06136000
0.45000000 0.06512000
0.40000000 0.06721000
0.35000000 0.06819000
0.30000000 0.06855000
0.25000000 0.06816000
0.20000000 0.06566000
0.15000000 0.06037000
0.10000000 0.05132000
0.07500000 0.04456000
0.05000000 0.03567000
0.02500000 0.02368000
0.01500000 0.01740000
0.01000000 0.01329000
0.00000000 0.00000000
0.00000000 0.00000000
0.01000000 -0.00871000
0.01500000 -0.00997000
0.02500000 -0.01115000
0.05000000 -0.01268000
0.07500000 -0.01271000
0.10000000 -0.01218000
0.15000000 -0.00977000
0.20000000 -0.00700000
0.25000000 -0.00459000
0.30000000 -0.00223000
0.35000000 0.00039000
0.40000000 0.00346000
0.45000000 0.00576000
0.50000000 0.00750000
0.55000000 0.00865000
0.60000000 0.00858000
0.70000000 0.00665000
0.80000000 0.00221000
0.90000000 -0.00415000
0.95000000 -0.00800000
1.00000000 -0.01271000
