BE50 (smoothed)
1.00000000 0.00132000
0.99754000 0.00181000
0.99070000 0.00317000
0.98037000 0.00520000
0.96698000 0.00780000
0.95044000 0.01094000
0.93064000 0.01460000
0.90775000 0.01868000
0.88202000 0.02308000
0.85370000 0.02769000
0.82309000 0.03241000
0.79048000 0.03713000
0.75616000 0.04179000
0.72043000 0.04630000
0.68359000 0.05061000
0.64594000 0.05466000
0.60778000 0.05838000
0.56937000 0.06174000
0.53099000 0.06469000
0.49265000 0.06717000
0.45435000 0.06914000
0.41638000 0.07057000
0.37887000 0.07147000
0.34204000 0.07189000
0.30609000 0.07183000
0.27120000 0.07122000
0.23760000 0.06996000
0.20549000 0.06795000
0.17504000 0.06508000
0.14648000 0.06131000
0.11999000 0.05665000
0.09576000 0.05116000
0.07395000 0.04494000
0.05468000 0.03815000
0.03811000 0.03101000
0.02433000 0.02377000
0.01338000 0.01665000
0.00548000 0.00992000
0.00098000 0.00385000
0.00000000 0.00000000
0.00000000 0.00000000
0.00098000 -0.00329000
0.00548000 -0.00692000
0.01338000 -0.00953000
0.02433000 -0.01124000
0.03811000 -0.01221000
0.05468000 -0.01253000
0.07395000 -0.01226000
0.09576000 -0.01149000
0.11999000 -0.01030000
0.14648000 -0.00879000
0.17504000 -0.00706000
0.20549000 -0.00519000
0.23760000 -0.00320000
0.27120000 -0.00112000
0.30609000 0.00105000
0.34204000 0.00333000
0.37887000 0.00566000
0.41638000 0.00795000
0.45435000 0.01005000
0.49265000 0.01180000
0.53099000 0.01313000
0.56937000 0.01400000
0.60778000 0.01443000
0.64594000 0.01443000
0.68359000 0.01405000
0.72043000 0.01334000
0.75616000 0.01236000
0.79048000 0.01117000
0.82309000 0.00983000
0.85370000 0.00839000
0.88202000 0.00691000
0.90775000 0.00543000
0.93064000 0.00401000
0.95044000 0.00268000
0.96698000 0.00149000
0.98037000 0.00044000
0.99070000 -0.00043000
0.99754000 -0.00104000
1.00000000 -0.00127000
