CH10 (smoothed)
1.00000000 -0.00009000
0.99754000 0.00155000
0.99070000 0.00565000
0.98037000 0.01097000
0.96698000 0.01707000
0.95044000 0.02438000
0.93064000 0.03303000
0.90775000 0.04278000
0.88202000 0.05353000
0.85370000 0.06508000
0.82309000 0.07711000
0.79048000 0.08928000
0.75616000 0.10129000
0.72043000 0.11284000
0.68359000 0.12370000
0.64594000 0.13360000
0.60778000 0.14229000
0.56937000 0.14956000
0.53099000 0.15524000
0.49265000 0.15928000
0.45435000 0.16162000
0.41638000 0.16226000
0.37887000 0.16119000
0.34204000 0.15848000
0.30609000 0.15420000
0.27120000 0.14845000
0.23760000 0.14134000
0.20549000 0.13296000
0.17504000 0.12341000
0.14648000 0.11277000
0.11999000 0.10118000
0.09576000 0.08882000
0.07395000 0.07597000
0.05468000 0.06298000
0.03811000 0.05018000
0.02433000 0.03779000
0.01338000 0.02601000
0.00548000 0.01517000
0.00098000 0.00572000
0.00000000 0.00000000
0.00000000 0.00000000
0.00098000 -0.00464000
0.00548000 -0.00928000
0.01338000 -0.01193000
0.02433000 -0.01283000
0.03811000 -0.01223000
0.05468000 -0.01042000
0.07395000 -0.00773000
0.09576000 -0.00449000
0.11999000 -0.00090000
0.14648000 0.00306000
0.17504000 0.00734000
0.20549000 0.01187000
0.23760000 0.01653000
0.27120000 0.02122000
0.30609000 0.02583000
0.34204000 0.03026000
0.37887000 0.03443000
0.41638000 0.03825000
0.45435000 0.04164000
0.49265000 0.04452000
0.53099000 0.04679000
0.56937000 0.04837000
0.60778000 0.04919000
0.64594000 0.04918000
0.68359000 0.04831000
0.72043000 0.04658000
0.75616000 0.04409000
0.79048000 0.04094000
0.82309000 0.03725000
0.85370000 0.03308000
0.88202000 0.02853000
0.90775000 0.02372000
0.93064000 0.01882000
0.95044000 0.01396000
0.96698000 0.00922000
0.98037000 0.00502000
0.99070000 0.00198000
0.99754000 0.00030000
1.00000000 -0.00020000
