CHEN AIRFOIL
1.00000000 0.00000000
0.99878920 0.00101060
0.99543850 0.00271240
0.98904990 0.00398020
0.98029410 0.00676230
0.96881530 0.00928330
0.95464000 0.01184200
0.93807440 0.01451170
0.91902800 0.01740090
0.89760890 0.02060020
0.87390750 0.02400150
0.84823870 0.02777740
0.82050410 0.03193690
0.79110830 0.03654440
0.76013390 0.04139200
0.72780530 0.04676070
0.69430330 0.05243420
0.65994320 0.05858500
0.62490590 0.06499640
0.58950690 0.07184140
0.55402610 0.07889460
0.51857130 0.08624640
0.48363040 0.09375380
0.44938410 0.10119960
0.41613860 0.10865720
0.38396730 0.11581920
0.35328440 0.12284960
0.32456890 0.12950500
0.29973160 0.13591800
0.27715670 0.13962130
0.25439240 0.14002810
0.23195810 0.13849870
0.20989760 0.13553110
0.18852600 0.13129750
0.16795990 0.12598870
0.14821700 0.11980410
0.12930590 0.11284350
0.11153290 0.10517950
0.09490720 0.09691230
0.07934680 0.08824990
0.06514910 0.07916550
0.05223300 0.06986760
0.04070610 0.06044700
0.03047770 0.05101170
0.02208800 0.04201610
0.01479860 0.03302360
0.00903250 0.02429800
0.00470820 0.01604700
0.00184360 0.00847030
0.00035580 0.00177550
0.00000000 0.00000000
0.00000000 0.00000000
0.00014650 -0.00402840
0.00115960 -0.00843470
0.00319790 -0.01142570
0.00619670 -0.01369880
0.01064770 -0.01539750
0.01755010 -0.01650990
0.02651570 -0.01690120
0.03758850 -0.01607360
0.05176920 -0.01401500
0.06908410 -0.01042650
0.08644290 -0.00634010
0.10681340 -0.00211850
0.12719300 0.00220280
0.14960930 0.00694620
0.17597740 0.01113930
0.20625350 0.01428420
0.22635330 0.01541780
0.26635090 0.01539390
0.29622480 0.01395640
0.32603730 0.01182170
0.35878330 0.00892560
0.38851730 0.00589430
0.41775500 0.00290700
0.45676090 -0.00044230
0.49354600 -0.00289250
0.52956320 -0.00497370
0.56487740 -0.00709300
0.59942380 -0.00884330
0.63322010 -0.01002530
0.66623130 -0.01103750
0.69834930 -0.01197070
0.72977270 -0.01284250
0.76000550 -0.01360890
0.78884900 -0.01425260
0.81641130 -0.01468240
0.84253770 -0.01438300
0.86690410 -0.01362680
0.88998920 -0.01265680
0.91140510 -0.01133840
0.93063770 -0.00982700
0.94798490 -0.00814880
0.96305890 -0.00616920
0.97562560 -0.00426910
0.98564190 -0.00294640
0.99302550 -0.00199320
0.99802770 -0.00082930
1.00000000 0.00000000
