Curtis C-72
1.00000000 -0.03390000
0.95000000 -0.01970000
0.90000000 -0.00690000
0.80000000 0.01740000
0.70000000 0.03870000
0.60000000 0.05660000
0.50000000 0.07040000
0.40000000 0.07920000
0.30000000 0.08240000
0.20000000 0.07870000
0.15000000 0.07200000
0.10000000 0.06110000
0.07500000 0.05360000
0.05000000 0.04400000
0.02500000 0.03020000
0.01250000 0.02060000
0.00000000 0.00000000
0.00000000 0.00000000
0.01250000 -0.01570000
0.02500000 -0.02020000
0.05000000 -0.02560000
0.07500000 -0.02850000
0.10000000 -0.03060000
0.15000000 -0.03330000
0.20000000 -0.03460000
0.30000000 -0.03490000
0.40000000 -0.03280000
0.50000000 -0.02900000
0.60000000 -0.02640000
0.70000000 -0.02580000
0.80000000 -0.02770000
0.90000000 -0.03090000
0.95000000 -0.03280000
1.00000000 -0.03490000
