Davis AIRFOIL
1.00000000 0.00000000
0.90000000 0.02500000
0.80000000 0.04600000
0.70000000 0.06250000
0.60000000 0.07700000
0.50000000 0.08600000
0.40000000 0.09150000
0.30000000 0.09000000
0.25000000 0.08750000
0.20000000 0.08250000
0.15000000 0.07400000
0.10000000 0.06000000
0.07500000 0.05100000
0.05000000 0.04050000
0.02500000 0.02680000
0.01250000 0.01750000
0.00000000 0.00000000
0.00000000 0.00000000
0.01250000 -0.01050000
0.02500000 -0.01470000
0.05000000 -0.02050000
0.07500000 -0.02400000
0.10000000 -0.02600000
0.15000000 -0.02700000
0.20000000 -0.02650000
0.25000000 -0.02450000
0.30000000 -0.02250000
0.40000000 -0.01765000
0.50000000 -0.01300000
0.60000000 -0.01000000
0.70000000 -0.00750000
0.80000000 -0.00450000
0.90000000 -0.00200000
1.00000000 0.00000000
