Dayton-Wright T-1
1.00000000 -0.03340000
0.95000000 -0.01710000
0.90000000 -0.00160000
0.80000000 0.02690000
0.70000000 0.05120000
0.60000000 0.07030000
0.50000000 0.08480000
0.40000000 0.09400000
0.30000000 0.09690000
0.20000000 0.09210000
0.15000000 0.08470000
0.10000000 0.07070000
0.07500000 0.06130000
0.05000000 0.04960000
0.02500000 0.03300000
0.01250000 0.02170000
0.00000000 0.00000000
0.00000000 0.00000000
0.01250000 -0.02040000
0.02500000 -0.02630000
0.05000000 -0.03300000
0.07500000 -0.03660000
0.10000000 -0.03870000
0.15000000 -0.04040000
0.20000000 -0.04020000
0.30000000 -0.03680000
0.40000000 -0.03360000
0.50000000 -0.03390000
0.60000000 -0.03680000
0.70000000 -0.04010000
0.80000000 -0.04040000
0.90000000 -0.03880000
0.95000000 -0.03780000
1.00000000 -0.03550000
