Dees Okay230
1.00000000 0.00000000
0.99319769 0.00226674
0.98168254 0.00611574
0.96505308 0.01162651
0.94162303 0.01915549
0.91023635 0.02874850
0.87056236 0.03994834
0.82247934 0.05262898
0.76583799 0.06750872
0.70118403 0.08207228
0.62987567 0.09790816
0.55379569 0.11047952
0.47533953 0.11987025
0.39719825 0.12189452
0.32211455 0.12015508
0.25260543 0.11511883
0.19071456 0.10485090
0.13786955 0.09114024
0.09474850 0.07595060
0.06127187 0.06202662
0.03676708 0.04708271
0.02002968 0.03442080
0.00955099 0.02390010
0.00375920 0.01444999
0.00105621 0.00931264
0.00014473 0.00460232
0.00000000 0.00000000
0.00000000 0.00000000
0.00014940 -0.00324792
0.00106417 -0.00593175
0.00374991 -0.00824096
0.00955273 -0.01273599
0.02002117 -0.01841251
0.03675962 -0.02554148
0.06126531 -0.03049451
0.09473581 -0.03752350
0.13786724 -0.04166611
0.19071288 -0.04577749
0.25260442 -0.04799953
0.32211813 -0.04994933
0.39719760 -0.04884520
0.47534076 -0.04264105
0.55379621 -0.03486053
0.62987697 -0.02344612
0.70118874 -0.01336947
0.76582895 -0.00457668
0.82253678 0.00119213
0.87059388 0.00566477
0.91022930 0.00675479
0.94120744 0.00521358
0.96391950 0.00335664
0.98079040 0.00177128
0.99282413 0.00064162
1.00000000 0.00000000
