DRAGONFLY CANARD
1.00000000 0.00000000
0.99239930 0.00208800
0.97891650 0.00580410
0.96314590 0.01017420
0.94575060 0.01502350
0.92745100 0.02016030
0.90872500 0.02545440
0.88982500 0.03083820
0.87086300 0.03627890
0.85189570 0.04176150
0.83296560 0.04727620
0.81411430 0.05281900
0.79536590 0.05840110
0.77673140 0.06403720
0.75821080 0.06974460
0.73979210 0.07554110
0.72143910 0.08145780
0.70306890 0.08752340
0.68460150 0.09373680
0.66601590 0.10006500
0.64736310 0.10644910
0.62879650 0.11279430
0.61048010 0.11899990
0.59250300 0.12496520
0.57487840 0.13061110
0.55758340 0.13587960
0.54058110 0.14072560
0.52383350 0.14511400
0.50728570 0.14901390
0.49086380 0.15241110
0.47450270 0.15530630
0.45817740 0.15770470
0.44188590 0.15959720
0.42560040 0.16096780
0.40925970 0.16181640
0.39281490 0.16215980
0.37625690 0.16201610
0.35960470 0.16140330
0.34289820 0.16033440
0.32617550 0.15881250
0.30946660 0.15684380
0.29279340 0.15442910
0.27617100 0.15157150
0.25961130 0.14827520
0.24313230 0.14454700
0.22675100 0.14039190
0.21049030 0.13581620
0.19437840 0.13082880
0.17844410 0.12543460
0.16272350 0.11964490
0.14725950 0.11347070
0.13210900 0.10693000
0.11734610 0.10004900
0.10307170 0.09286880
0.08941560 0.08544780
0.07653260 0.07786900
0.06460160 0.07025680
0.05381130 0.06278350
0.04431230 0.05564340
0.03617130 0.04900640
0.02933510 0.04297060
0.02366480 0.03755070
0.01898340 0.03270040
0.01511710 0.02834740
0.01191100 0.02441640
0.00924330 0.02084530
0.00701600 0.01757600
0.00515720 0.01456120
0.00361410 0.01176090
0.00234660 0.00914100
0.00134090 0.00667160
0.00059890 0.00432260
0.00014570 0.00207910
0.00000000 0.00000000
0.00000000 0.00000000
0.00018050 -0.00218140
0.00072540 -0.00435630
0.00162890 -0.00651050
0.00287830 -0.00863120
0.00448060 -0.01068630
0.00646760 -0.01262480
0.00886830 -0.01439150
0.01170570 -0.01595660
0.01500960 -0.01731000
0.01883910 -0.01847840
0.02329040 -0.01953580
0.02850870 -0.02060300
0.03468500 -0.02177150
0.04206630 -0.02304100
0.05093650 -0.02434200
0.06160050 -0.02560400
0.07433120 -0.02679160
0.08912850 -0.02793370
0.10557550 -0.02898300
0.12316310 -0.02987950
0.14149540 -0.03060870
0.16030640 -0.03119910
0.17940020 -0.03166310
0.19867070 -0.03201680
0.21805410 -0.03226830
0.23751430 -0.03243070
0.25702330 -0.03250800
0.27657120 -0.03250620
0.29614000 -0.03242950
0.31572970 -0.03227870
0.33533330 -0.03205990
0.35493270 -0.03177610
0.37449610 -0.03142730
0.39399430 -0.03099870
0.41345630 -0.03047220
0.43293220 -0.02984560
0.45245490 -0.02912600
0.47205350 -0.02832530
0.49174100 -0.02745840
0.51150530 -0.02654640
0.53131960 -0.02560130
0.55116490 -0.02462620
0.57103910 -0.02362600
0.59094530 -0.02260270
0.61088340 -0.02156550
0.63084550 -0.02052110
0.65081870 -0.01947180
0.67078780 -0.01842540
0.69074690 -0.01738610
0.71069410 -0.01635680
0.73063030 -0.01533850
0.75055850 -0.01433330
0.77047680 -0.01334300
0.79038700 -0.01236780
0.81027730 -0.01140960
0.83013860 -0.01047240
0.84995900 -0.00956230
0.86970840 -0.00867530
0.88925880 -0.00777570
0.90849610 -0.00681450
0.92731930 -0.00575710
0.94554050 -0.00458670
0.96280150 -0.00331600
0.97854670 -0.00200970
0.99219710 -0.00076200
1.00000000 0.00000000
