DSMA-523B AIRFOIL
1.00000000 0.00030800
0.98000000 0.00684200
0.96000000 0.01264200
0.95000000 0.01770800
0.92000000 0.02218500
0.90000000 0.02615500
0.88000000 0.02966600
0.86000000 0.03278000
0.84000000 0.03550200
0.82000000 0.03790700
0.80000000 0.04004300
0.78000000 0.04194200
0.76000000 0.04362500
0.74000000 0.04513000
0.72000000 0.04649400
0.70000000 0.04772500
0.68000000 0.04883200
0.66000000 0.04982600
0.64000000 0.05072600
0.62000000 0.05154000
0.60000000 0.05226900
0.58000000 0.05291700
0.56000000 0.05348600
0.54000000 0.05397600
0.52000000 0.05439000
0.50000000 0.05472300
0.48000000 0.05497300
0.46000000 0.05514600
0.44000000 0.05524700
0.42000000 0.05527200
0.40000000 0.05524000
0.38000000 0.05514900
0.36000000 0.05499800
0.34000000 0.05478800
0.32000000 0.05451300
0.30000000 0.05416100
0.28000000 0.05372900
0.26000000 0.05319900
0.24000000 0.05256300
0.22000000 0.05180200
0.20000000 0.05090200
0.18000000 0.04982800
0.16000000 0.04854300
0.14000000 0.04701700
0.12000000 0.04519800
0.10000000 0.04298700
0.08000000 0.04036700
0.06000000 0.03740700
0.04000000 0.03345900
0.03000000 0.03072900
0.02000000 0.02691800
0.01500000 0.02426700
0.01250000 0.02265100
0.01000000 0.02071600
0.00750000 0.01841700
0.00509000 0.01532000
0.00250000 0.01106300
0.00100000 0.00709600
0.00050000 0.00506900
0.00000000 0.00000000
0.00000000 0.00000000
0.00050000 -0.00509600
0.00100000 -0.00712800
0.00250000 -0.01107800
0.00509000 -0.01532000
0.00750000 -0.01841700
0.01000000 -0.02067100
0.01250000 -0.02254800
0.01500000 -0.02413500
0.02000000 -0.02674400
0.03000000 -0.03066700
0.04000000 -0.03360700
0.06000000 -0.03708700
0.08000000 -0.04173900
0.10000000 -0.04464800
0.12000000 -0.04679600
0.14000000 -0.04861600
0.16000000 -0.05011400
0.18000000 -0.05134800
0.20000000 -0.05237000
0.22000000 -0.05320700
0.24000000 -0.05389000
0.26000000 -0.05442300
0.28000000 -0.05480800
0.30000000 -0.05505600
0.32000000 -0.05516300
0.34000000 -0.05513700
0.36000000 -0.05497800
0.38000000 -0.05470100
0.40000000 -0.05428300
0.42000000 -0.05371900
0.44000000 -0.05300900
0.46000000 -0.05214300
0.48000000 -0.05113600
0.50000000 -0.04991500
0.52000000 -0.04848300
0.54000000 -0.04678000
0.56000000 -0.04461300
0.58000000 -0.04200600
0.60000000 -0.03888500
0.62000000 -0.03518100
0.64000000 -0.03094000
0.66000000 -0.02639000
0.68000000 -0.02154100
0.70000000 -0.01695800
0.72000000 -0.01269200
0.74000000 -0.00875000
0.76000000 -0.00520000
0.78000000 -0.00204100
0.80000000 0.00068600
0.82000000 0.00296500
0.84000000 0.00475700
0.86000000 0.00602100
0.88000000 0.00668700
0.90000000 0.00660600
0.92000000 0.00563000
0.95000000 0.00356600
0.96000000 0.00034800
0.98000000 -0.00421000
1.00000000 -0.01010900
