E. Bambino
1.00000000 0.02200000
0.95000000 0.02400000
0.90000000 0.02750000
0.80000000 0.03500000
0.70000000 0.04100000
0.60000000 0.04700000
0.50000000 0.05300000
0.40000000 0.05500000
0.30000000 0.05300000
0.20000000 0.05050000
0.15000000 0.04600000
0.10000000 0.04300000
0.07500000 0.03800000
0.05000000 0.03100000
0.02500000 0.02450000
0.01250000 0.01100000
0.00000000 0.00000000
0.00000000 0.00000000
0.01250000 -0.00300000
0.02500000 -0.00500000
0.05000000 -0.00500000
0.07500000 -0.00500000
0.10000000 -0.00500000
0.15000000 -0.00500000
0.20000000 -0.00500000
0.30000000 -0.00500000
0.40000000 -0.00500000
0.50000000 -0.00500000
0.60000000 -0.00500000
0.70000000 -0.00400000
0.80000000 0.00250000
0.90000000 0.00900000
0.95000000 0.01300000
1.00000000 0.01700000
