GEMINI (smoothed)
1.00000000 0.00013000
0.99754000 0.00150000
0.99070000 0.00418000
0.98037000 0.00622000
0.96698000 0.00918000
0.95044000 0.01299000
0.93064000 0.01719000
0.90775000 0.02212000
0.88202000 0.02756000
0.85370000 0.03334000
0.82309000 0.03943000
0.79048000 0.04580000
0.75616000 0.05235000
0.72043000 0.05892000
0.68359000 0.06538000
0.64594000 0.07160000
0.60778000 0.07744000
0.56937000 0.08277000
0.53099000 0.08744000
0.49265000 0.09137000
0.45435000 0.09454000
0.41638000 0.09688000
0.37887000 0.09834000
0.34204000 0.09885000
0.30609000 0.09831000
0.27120000 0.09665000
0.23760000 0.09382000
0.20549000 0.08981000
0.17504000 0.08468000
0.14648000 0.07850000
0.11999000 0.07136000
0.09576000 0.06333000
0.07395000 0.05452000
0.05468000 0.04522000
0.03811000 0.03609000
0.02433000 0.02763000
0.01338000 0.01974000
0.00548000 0.01211000
0.00098000 0.00496000
0.00000000 0.00000000
0.00000000 0.00000000
0.00098000 -0.00494000
0.00548000 -0.01165000
0.01338000 -0.01785000
0.02433000 -0.02330000
0.03811000 -0.02827000
0.05468000 -0.03289000
0.07395000 -0.03725000
0.09576000 -0.04137000
0.11999000 -0.04513000
0.14648000 -0.04826000
0.17504000 -0.05068000
0.20549000 -0.05247000
0.23760000 -0.05377000
0.27120000 -0.05462000
0.30609000 -0.05502000
0.34204000 -0.05494000
0.37887000 -0.05434000
0.41638000 -0.05324000
0.45435000 -0.05163000
0.49265000 -0.04956000
0.53099000 -0.04710000
0.56937000 -0.04431000
0.60778000 -0.04125000
0.64594000 -0.03799000
0.68359000 -0.03462000
0.72043000 -0.03122000
0.75616000 -0.02783000
0.79048000 -0.02447000
0.82309000 -0.02119000
0.85370000 -0.01803000
0.88202000 -0.01507000
0.90775000 -0.01234000
0.93064000 -0.00988000
0.95044000 -0.00779000
0.96698000 -0.00639000
0.98037000 -0.00523000
0.99070000 -0.00345000
0.99754000 -0.00118000
1.00000000 -0.00002000
