GM15 (smoothed)
1.00000000 0.00025000
0.99754000 0.00133000
0.99070000 0.00375000
0.98037000 0.00635000
0.96698000 0.00884000
0.95044000 0.01168000
0.93064000 0.01535000
0.90775000 0.01988000
0.88202000 0.02493000
0.85370000 0.03020000
0.82309000 0.03543000
0.79048000 0.04049000
0.75616000 0.04530000
0.72043000 0.04982000
0.68359000 0.05405000
0.64594000 0.05798000
0.60778000 0.06159000
0.56937000 0.06486000
0.53099000 0.06770000
0.49265000 0.07007000
0.45435000 0.07191000
0.41638000 0.07314000
0.37887000 0.07371000
0.34204000 0.07358000
0.30609000 0.07274000
0.27120000 0.07116000
0.23760000 0.06885000
0.20549000 0.06580000
0.17504000 0.06201000
0.14648000 0.05750000
0.11999000 0.05229000
0.09576000 0.04648000
0.07395000 0.04022000
0.05468000 0.03373000
0.03811000 0.02717000
0.02433000 0.02071000
0.01338000 0.01452000
0.00548000 0.00871000
0.00098000 0.00341000
0.00000000 0.00000000
0.00000000 0.00000000
0.00098000 -0.00293000
0.00548000 -0.00615000
0.01338000 -0.00849000
0.02433000 -0.01017000
0.03811000 -0.01131000
0.05468000 -0.01191000
0.07395000 -0.01188000
0.09576000 -0.01117000
0.11999000 -0.00977000
0.14648000 -0.00766000
0.17504000 -0.00491000
0.20549000 -0.00160000
0.23760000 0.00210000
0.27120000 0.00605000
0.30609000 0.01007000
0.34204000 0.01398000
0.37887000 0.01760000
0.41638000 0.02079000
0.45435000 0.02343000
0.49265000 0.02545000
0.53099000 0.02680000
0.56937000 0.02751000
0.60778000 0.02759000
0.64594000 0.02711000
0.68359000 0.02613000
0.72043000 0.02475000
0.75616000 0.02306000
0.79048000 0.02107000
0.82309000 0.01877000
0.85370000 0.01617000
0.88202000 0.01336000
0.90775000 0.01052000
0.93064000 0.00784000
0.95044000 0.00547000
0.96698000 0.00351000
0.98037000 0.00198000
0.99070000 0.00094000
0.99754000 0.00036000
1.00000000 0.00018000
