Jedeslsky EJ85
1.00000000 -0.00500000
0.95000000 0.01200000
0.90000000 0.02300000
0.80000000 0.04300000
0.70000000 0.06000000
0.60000000 0.07500000
0.50000000 0.08500000
0.40000000 0.09300000
0.30000000 0.09500000
0.20000000 0.09000000
0.15000000 0.08700000
0.10000000 0.07500000
0.07500000 0.06700000
0.05000000 0.05500000
0.02500000 0.03800000
0.01250000 0.02500000
0.00000000 0.00000000
0.00000000 0.00000000
0.01250000 -0.00400000
0.02500000 0.00000000
0.05000000 0.00500000
0.07500000 0.00800000
0.10000000 0.01300000
0.15000000 0.02200000
0.20000000 0.02800000
0.30000000 0.04500000
0.40000000 0.06000000
0.50000000 0.07500000
0.60000000 0.06500000
0.70000000 0.05000000
0.80000000 0.03300000
0.90000000 0.01300000
0.95000000 0.00200000
1.00000000 -0.00500000
