JN-153 AIRFOIL
1.00000000 0.00000000
0.99910000 0.00028990
0.99649990 0.00122970
0.99240980 0.00283940
0.98701960 0.00502890
0.98042940 0.00761840
0.97264910 0.01041770
0.96353890 0.01331690
0.95300860 0.01636600
0.94106830 0.01962500
0.92775800 0.02312390
0.91313760 0.02686270
0.89723730 0.03087130
0.88013690 0.03512990
0.86187650 0.03966840
0.84253610 0.04447670
0.82217560 0.04955500
0.80089520 0.05491320
0.77877460 0.06054140
0.75588420 0.06642940
0.73234360 0.07257740
0.70824300 0.07897540
0.68370240 0.08560330
0.65880190 0.09244120
0.63369130 0.09945910
0.60847060 0.10664700
0.58328990 0.11394490
0.55825930 0.12132280
0.53353870 0.12873070
0.50926800 0.13606860
0.48562740 0.14326660
0.46216680 0.15015470
0.44101620 0.15658290
0.42053570 0.16189120
0.40062540 0.16537950
0.38055520 0.16759780
0.36050510 0.16893610
0.34055500 0.16947440
0.32079500 0.16929270
0.30129510 0.16844110
0.28211520 0.16694950
0.26331530 0.16480790
0.24495550 0.16201630
0.22698580 0.15857480
0.20944610 0.15457330
0.19236650 0.15004190
0.17580690 0.14504050
0.15980740 0.13960910
0.14440780 0.13377780
0.12966830 0.12756650
0.11561890 0.12103540
0.10231950 0.11418420
0.08979000 0.10701320
0.07802070 0.09954210
0.06700130 0.09184120
0.05675200 0.08396030
0.04730260 0.07595950
0.03866330 0.06787880
0.03086400 0.05979810
0.02391470 0.05173750
0.01782530 0.04377700
0.01261600 0.03595660
0.00829660 0.02834620
0.00487720 0.02100590
0.00234780 0.01401570
0.00000000 0.00000000
0.00000000 0.00000000
0.00024480 -0.00395870
0.00140970 -0.00856440
0.00371000 -0.01183420
0.00778020 -0.01397390
0.01388030 -0.01559340
0.02172050 -0.01682270
0.03119050 -0.01773190
0.04223060 -0.01833100
0.05477060 -0.01865990
0.06876070 -0.01874880
0.08412070 -0.01860750
0.10082060 -0.01826600
0.11877060 -0.01773450
0.13792060 -0.01702290
0.15819050 -0.01614120
0.17951050 -0.01510940
0.20181040 -0.01392750
0.22501030 -0.01258550
0.24903020 -0.01109350
0.27379010 -0.00938140
0.29928990 -0.00737920
0.32560980 -0.00517700
0.35267960 -0.00287470
0.38038940 -0.00054240
0.40865920 0.00176000
0.43735910 0.00400240
0.46640900 0.00615490
0.49568880 0.00817740
0.52508870 0.01003990
0.55450860 0.01174230
0.58383850 0.01324480
0.61295840 0.01453730
0.64175830 0.01561970
0.67013830 0.01647210
0.69799830 0.01708450
0.72520830 0.01746680
0.75168820 0.01759900
0.77730830 0.01751120
0.80199830 0.01718330
0.82562840 0.01664530
0.84812850 0.01588720
0.86939870 0.01493900
0.88933870 0.01382070
0.90787890 0.01254220
0.92492900 0.01113370
0.94040910 0.00961500
0.95425930 0.00803610
0.96638940 0.00640720
0.97671960 0.00476800
0.98514970 0.00323870
0.99167980 0.00191930
0.99631990 0.00088970
0.99908000 0.00022990
1.00000000 0.00000000
