K3311  (original)
1.00000000 0.00000000
0.95000000 0.01043000
0.90000000 0.02009000
0.85000000 0.02931000
0.80000000 0.03842000
0.75000000 0.04670000
0.70000000 0.05476000
0.65000000 0.06170000
0.60000000 0.06895000
0.55000000 0.07485000
0.50000000 0.07966000
0.45000000 0.08347000
0.40000000 0.08618000
0.35000000 0.08702000
0.30000000 0.08595000
0.25000000 0.08310000
0.20000000 0.07776000
0.15000000 0.06966000
0.10000000 0.05748000
0.08000000 0.05130000
0.06000000 0.04412000
0.04000000 0.03498000
0.02000000 0.02327000
0.01000000 0.01563000
0.00000000 0.00000000
0.00000000 0.00000000
0.01000000 -0.01036000
0.02000000 -0.01285000
0.04000000 -0.01635000
0.06000000 -0.01896000
0.08000000 -0.02045000
0.10000000 -0.02169000
0.15000000 -0.02387000
0.20000000 -0.02492000
0.25000000 -0.02468000
0.30000000 -0.02405000
0.35000000 -0.02260000
0.40000000 -0.02113000
0.45000000 -0.01883000
0.50000000 -0.01608000
0.55000000 -0.01327000
0.60000000 -0.01053000
0.65000000 -0.00812000
0.70000000 -0.00592000
0.75000000 -0.00396000
0.80000000 -0.00232000
0.85000000 -0.00121000
0.90000000 -0.00051000
0.95000000 -0.00054000
1.00000000 0.00000000
