K3311 (smoothed)
1.00000000 0.00000000
0.99754000 0.00055000
0.99070000 0.00206000
0.98037000 0.00428000
0.96698000 0.00706000
0.95044000 0.01040000
0.93064000 0.01430000
0.90775000 0.01871000
0.88202000 0.02357000
0.85370000 0.02879000
0.82309000 0.03430000
0.79048000 0.03999000
0.75616000 0.04575000
0.72043000 0.05150000
0.68359000 0.05713000
0.64594000 0.06257000
0.60778000 0.06772000
0.56937000 0.07246000
0.53099000 0.07666000
0.49265000 0.08025000
0.45435000 0.08315000
0.41638000 0.08525000
0.37887000 0.08647000
0.34204000 0.08674000
0.30609000 0.08604000
0.27120000 0.08436000
0.23760000 0.08174000
0.20549000 0.07821000
0.17504000 0.07381000
0.14648000 0.06861000
0.11999000 0.06267000
0.09576000 0.05609000
0.07395000 0.04899000
0.05468000 0.04147000
0.03811000 0.03372000
0.02433000 0.02593000
0.01338000 0.01829000
0.00548000 0.01100000
0.00098000 0.00432000
0.00000000 0.00000000
0.00000000 0.00000000
0.00098000 -0.00381000
0.00548000 -0.00822000
0.01338000 -0.01171000
0.02433000 -0.01444000
0.03811000 -0.01666000
0.05468000 -0.01859000
0.07395000 -0.02033000
0.09576000 -0.02189000
0.11999000 -0.02320000
0.14648000 -0.02422000
0.17504000 -0.02491000
0.20549000 -0.02525000
0.23760000 -0.02524000
0.27120000 -0.02490000
0.30609000 -0.02424000
0.34204000 -0.02329000
0.37887000 -0.02207000
0.41638000 -0.02057000
0.45435000 -0.01879000
0.49265000 -0.01679000
0.53099000 -0.01466000
0.56937000 -0.01253000
0.60778000 -0.01049000
0.64594000 -0.00859000
0.68359000 -0.00686000
0.72043000 -0.00531000
0.75616000 -0.00396000
0.79048000 -0.00283000
0.82309000 -0.00195000
0.85370000 -0.00132000
0.88202000 -0.00094000
0.90775000 -0.00074000
0.93064000 -0.00067000
0.95044000 -0.00063000
0.96698000 -0.00057000
0.98037000 -0.00044000
0.99070000 -0.00026000
0.99754000 -0.00008000
1.00000000 0.00000000
