LDS-2 AIRFOIL
1.00000000 0.00000000
0.95020000 0.00891200
0.90050000 0.01758400
0.85070000 0.02635200
0.80080000 0.03507800
0.75050000 0.04361600
0.70090000 0.05158600
0.65080000 0.05900600
0.60060000 0.06562800
0.55030000 0.07127000
0.50000000 0.07574200
0.44960000 0.07880000
0.39920000 0.08018000
0.34880000 0.08032000
0.30000000 0.07876000
0.25000000 0.07600000
0.20000000 0.07166000
0.17500000 0.06880000
0.15000000 0.06540000
0.12500000 0.06138600
0.10000000 0.05649600
0.07500000 0.05048400
0.05000000 0.04272600
0.03750000 0.03776200
0.02500000 0.03150000
0.01250000 0.02272800
0.00500000 0.01458000
0.00200000 0.00947400
0.00000000 0.00000000
0.00000000 0.00000000
0.00200000 -0.00548400
0.00500000 -0.00875400
0.01250000 -0.01310800
0.02500000 -0.01728200
0.03750000 -0.02025000
0.05000000 -0.02268000
0.07500000 -0.02661000
0.10000000 -0.02972000
0.12500000 -0.03226000
0.15000000 -0.03436800
0.17500000 -0.03612000
0.20000000 -0.03744000
0.25000000 -0.03936000
0.30000000 -0.03990000
0.34880000 -0.03942000
0.39920000 -0.03790000
0.44960000 -0.03557400
0.50000000 -0.03258800
0.55030000 -0.02933800
0.60060000 -0.02597600
0.65080000 -0.02267000
0.70090000 -0.01942000
0.75050000 -0.01620200
0.80080000 -0.01299400
0.85070000 -0.00977600
0.90050000 -0.00653600
0.95020000 -0.00327200
1.00000000 0.00000000
