LWK 80-080
1.00000000 0.00000000
0.99893000 0.00084000
0.99572000 0.00112000
0.99039000 0.00158000
0.98296000 0.00208000
0.97347000 0.00273000
0.96194000 0.00351000
0.94844000 0.00444000
0.93301000 0.00554000
0.91573000 0.00686000
0.89668000 0.00843000
0.87592000 0.01025000
0.85355000 0.01236000
0.82967000 0.01476000
0.80438000 0.01744000
0.77779000 0.02032000
0.75000000 0.02329000
0.72114000 0.02624000
0.69134000 0.02907000
0.66072000 0.03169000
0.62941000 0.03400000
0.59755000 0.03593000
0.56526000 0.03746000
0.53270000 0.03863000
0.50000000 0.03946000
0.46730000 0.04000000
0.43474000 0.04028000
0.40245000 0.04031000
0.37059000 0.04011000
0.33928000 0.03968000
0.30866000 0.03905000
0.27886000 0.03820000
0.25000000 0.03716000
0.22221000 0.03594000
0.19562000 0.03453000
0.17033000 0.03296000
0.14645000 0.03122000
0.12408000 0.02934000
0.10332000 0.02730000
0.08427000 0.02514000
0.06699000 0.02284000
0.05156000 0.02040000
0.03806000 0.01782000
0.02653000 0.01506000
0.01704000 0.01215000
0.00961000 0.00911000
0.00428000 0.00600000
0.00107000 0.00296000
0.00000000 0.00000000
0.00000000 0.00000000
0.00107000 -0.00296000
0.00428000 -0.00600000
0.00961000 -0.00911000
0.01704000 -0.01215000
0.02653000 -0.01506000
0.03806000 -0.01782000
0.05156000 -0.02040000
0.06699000 -0.02284000
0.08427000 -0.02514000
0.10332000 -0.02730000
0.12408000 -0.02934000
0.14645000 -0.03122000
0.17033000 -0.03296000
0.19562000 -0.03453000
0.22221000 -0.03594000
0.25000000 -0.03716000
0.27886000 -0.03820000
0.30866000 -0.03905000
0.33928000 -0.03968000
0.37059000 -0.04011000
0.40245000 -0.04031000
0.43474000 -0.04028000
0.46730000 -0.04000000
0.50000000 -0.03946000
0.53270000 -0.03863000
0.56526000 -0.03746000
0.59755000 -0.03593000
0.62941000 -0.03400000
0.66072000 -0.03169000
0.69134000 -0.02907000
0.72114000 -0.02624000
0.75000000 -0.02329000
0.77779000 -0.02032000
0.80438000 -0.01744000
0.82967000 -0.01476000
0.85355000 -0.01236000
0.87592000 -0.01025000
0.89668000 -0.00843000
0.91573000 -0.00686000
0.93301000 -0.00554000
0.94844000 -0.00444000
0.96194000 -0.00351000
0.97347000 -0.00273000
0.98296000 -0.00208000
0.99039000 -0.00158000
0.99572000 -0.00112000
0.99893000 -0.00084000
1.00000000 0.00000000
