LWK 80-120/K25
1.00000000 0.00000000
0.99893000 0.00077000
0.99572000 0.00110000
0.99039000 0.00169000
0.98296000 0.00238000
0.97347000 0.00328000
0.96194000 0.00438000
0.94844000 0.00572000
0.93301000 0.00734000
0.91573000 0.00930000
0.89668000 0.01163000
0.87592000 0.01437000
0.85355000 0.01755000
0.82967000 0.02118000
0.80438000 0.02523000
0.77779000 0.02958000
0.75000000 0.03409000
0.72114000 0.03859000
0.69134000 0.04291000
0.66072000 0.04690000
0.62941000 0.05043000
0.59755000 0.05340000
0.56526000 0.05578000
0.53270000 0.05760000
0.50000000 0.05891000
0.46730000 0.05977000
0.43474000 0.06023000
0.40245000 0.06031000
0.37059000 0.06004000
0.33928000 0.05943000
0.30866000 0.05850000
0.27886000 0.05726000
0.25000000 0.05572000
0.22221000 0.05390000
0.19562000 0.05180000
0.17033000 0.04945000
0.14645000 0.04685000
0.12408000 0.04403000
0.10332000 0.04099000
0.08427000 0.03775000
0.06699000 0.03430000
0.05156000 0.03064000
0.03806000 0.02675000
0.02653000 0.02261000
0.01704000 0.01822000
0.00961000 0.01366000
0.00428000 0.00904000
0.00107000 0.00448000
0.00000000 0.00000000
0.00000000 0.00000000
0.00107000 -0.00448000
0.00428000 -0.00904000
0.00961000 -0.01366000
0.01704000 -0.01822000
0.02653000 -0.02261000
0.03806000 -0.02675000
0.05156000 -0.03064000
0.06699000 -0.03430000
0.08427000 -0.03775000
0.10332000 -0.04099000
0.12408000 -0.04403000
0.14645000 -0.04685000
0.17033000 -0.04945000
0.19562000 -0.05180000
0.22221000 -0.05390000
0.25000000 -0.05572000
0.27886000 -0.05726000
0.30866000 -0.05850000
0.33928000 -0.05943000
0.37059000 -0.06004000
0.40245000 -0.06031000
0.43474000 -0.06023000
0.46730000 -0.05977000
0.50000000 -0.05891000
0.53270000 -0.05760000
0.56526000 -0.05578000
0.59755000 -0.05340000
0.62941000 -0.05043000
0.66072000 -0.04690000
0.69134000 -0.04291000
0.72114000 -0.03859000
0.75000000 -0.03409000
0.77779000 -0.02958000
0.80438000 -0.02523000
0.82967000 -0.02118000
0.85355000 -0.01755000
0.87592000 -0.01437000
0.89668000 -0.01163000
0.91573000 -0.00930000
0.93301000 -0.00734000
0.94844000 -0.00572000
0.96194000 -0.00438000
0.97347000 -0.00328000
0.98296000 -0.00238000
0.99039000 -0.00169000
0.99572000 -0.00110000
0.99893000 -0.00077000
1.00000000 0.00000000
