MA409 (original)
1.00000000 -0.01679000
0.95000000 -0.00503000
0.90000000 0.00559000
0.80000000 0.02266000
0.70000000 0.03487000
0.65000000 0.04405000
0.55000000 0.04794000
0.50000000 0.05196000
0.45000000 0.05437000
0.40000000 0.05642000
0.35000000 0.05685000
0.30000000 0.05649000
0.25000000 0.05553000
0.20000000 0.05176000
0.15000000 0.04672000
0.10000000 0.03924000
0.07500000 0.03383000
0.05000000 0.02730000
0.02500000 0.01751000
0.01250000 0.01082000
0.00000000 0.00000000
0.00000000 0.00000000
0.01250000 -0.00871000
0.02500000 -0.01312000
0.05000000 -0.01667000
0.07500000 -0.01727000
0.10000000 -0.01749000
0.15000000 -0.01627000
0.20000000 -0.01469000
0.25000000 -0.01235000
0.30000000 -0.00960000
0.35000000 -0.00718000
0.40000000 -0.00520000
0.45000000 -0.00325000
0.50000000 -0.00250000
0.55000000 -0.00224000
0.60000000 -0.00213000
0.70000000 -0.00365000
0.80000000 -0.00642000
0.90000000 -0.01045000
0.95000000 -0.01394000
1.00000000 -0.01749000
