MA409 (smoothed)
1.00000000 0.00038000
0.99754000 0.00098000
0.99070000 0.00263000
0.98037000 0.00502000
0.96698000 0.00797000
0.95044000 0.01140000
0.93064000 0.01525000
0.90775000 0.01941000
0.88202000 0.02377000
0.85370000 0.02821000
0.82309000 0.03265000
0.79048000 0.03698000
0.75616000 0.04116000
0.72043000 0.04509000
0.68359000 0.04873000
0.64594000 0.05202000
0.60778000 0.05490000
0.56937000 0.05736000
0.53099000 0.05937000
0.49265000 0.06093000
0.45435000 0.06206000
0.41638000 0.06274000
0.37887000 0.06295000
0.34204000 0.06264000
0.30609000 0.06176000
0.27120000 0.06029000
0.23760000 0.05823000
0.20549000 0.05559000
0.17504000 0.05238000
0.14648000 0.04863000
0.11999000 0.04437000
0.09576000 0.03965000
0.07395000 0.03454000
0.05468000 0.02917000
0.03811000 0.02373000
0.02433000 0.01835000
0.01338000 0.01309000
0.00548000 0.00801000
0.00098000 0.00322000
0.00000000 0.00000000
0.00000000 0.00000000
0.00098000 -0.00298000
0.00548000 -0.00660000
0.01338000 -0.00964000
0.02433000 -0.01209000
0.03811000 -0.01396000
0.05468000 -0.01523000
0.07395000 -0.01586000
0.09576000 -0.01585000
0.11999000 -0.01523000
0.14648000 -0.01412000
0.17504000 -0.01260000
0.20549000 -0.01077000
0.23760000 -0.00871000
0.27120000 -0.00649000
0.30609000 -0.00417000
0.34204000 -0.00182000
0.37887000 0.00043000
0.41638000 0.00249000
0.45435000 0.00426000
0.49265000 0.00569000
0.53099000 0.00678000
0.56937000 0.00758000
0.60778000 0.00812000
0.64594000 0.00841000
0.68359000 0.00848000
0.72043000 0.00834000
0.75616000 0.00802000
0.79048000 0.00753000
0.82309000 0.00691000
0.85370000 0.00617000
0.88202000 0.00533000
0.90775000 0.00443000
0.93064000 0.00351000
0.95044000 0.00260000
0.96698000 0.00174000
0.98037000 0.00097000
0.99070000 0.00032000
0.99754000 -0.00014000
1.00000000 -0.00032000
