MILEY M06-13-128
0.99995000 -0.00087000
0.99891000 -0.00072000
0.99147000 0.00001000
0.97751000 0.00111000
0.95713000 0.00283000
0.93063000 0.00544000
0.89844000 0.00915000
0.86107000 0.01412000
0.81918000 0.02052000
0.77349000 0.02843000
0.72488000 0.03791000
0.67429000 0.04893000
0.62283000 0.06138000
0.57175000 0.07497000
0.52260000 0.08915000
0.47751000 0.10222000
0.43505000 0.11007000
0.39258000 0.11402000
0.35027000 0.11530000
0.30868000 0.11444000
0.26833000 0.11169000
0.22970000 0.10727000
0.19323000 0.10133000
0.15937000 0.09400000
0.12852000 0.08518000
0.10052000 0.07496000
0.07553000 0.06373000
0.05377000 0.05218000
0.03546000 0.04035000
0.02078000 0.02873000
0.00989000 0.01775000
0.00291000 0.00791000
0.00093000 0.00365000
0.00000000 0.00000000
0.00000000 0.00000000
0.00025000 -0.00270000
0.00228000 -0.00459000
0.01198000 -0.00756000
0.02798000 -0.00988000
0.04982000 -0.01164000
0.07713000 -0.01290000
0.10954000 -0.01374000
0.14662000 -0.01420000
0.18791000 -0.01436000
0.23291000 -0.01426000
0.28106000 -0.01395000
0.33180000 -0.01347000
0.38451000 -0.01287000
0.43857000 -0.01216000
0.49333000 -0.01140000
0.54815000 -0.01059000
0.60237000 -0.00977000
0.65536000 -0.00896000
0.70647000 -0.00816000
0.75511000 -0.00739000
0.80068000 -0.00664000
0.84264000 -0.00593000
0.88048000 -0.00524000
0.91374000 -0.00457000
0.94200000 -0.00389000
0.96491000 -0.00315000
0.98227000 -0.00234000
0.99388000 -0.00160000
0.99937000 -0.00101000
0.99995000 -0.00087000
