NLR-1T AIRFOIL
1.00000000 0.00104000
0.96199000 0.00651000
0.93589000 0.01020000
0.90845000 0.01421000
0.87846000 0.01901000
0.84055000 0.02533000
0.80263000 0.03140000
0.76946000 0.03644000
0.73905000 0.04017000
0.71079000 0.04291000
0.67732000 0.04524000
0.63728000 0.04774000
0.59596000 0.04992000
0.55383000 0.05175000
0.51162000 0.05323000
0.46849000 0.05438000
0.42528000 0.05518000
0.38269000 0.05560000
0.34064000 0.05565000
0.29979000 0.05531000
0.26054000 0.05459000
0.22313000 0.05345000
0.18767000 0.05188000
0.15412000 0.04986000
0.12341000 0.04741000
0.09845000 0.04469000
0.07753000 0.04098000
0.05675000 0.03588000
0.03796000 0.02972000
0.02185000 0.02296000
0.00974000 0.01524000
0.00259000 0.00704000
0.00000000 0.00000000
0.00000000 0.00000000
0.00259000 -0.00512000
0.00974000 -0.00867000
0.02185000 -0.01180000
0.03796000 -0.01465000
0.05675000 -0.01713000
0.07753000 -0.01929000
0.09845000 -0.02112000
0.12341000 -0.02299000
0.15412000 -0.02494000
0.18767000 -0.02671000
0.22313000 -0.02821000
0.26054000 -0.02944000
0.29979000 -0.03040000
0.34064000 -0.03104000
0.38269000 -0.03142000
0.42528000 -0.03150000
0.46849000 -0.03132000
0.51162000 -0.03080000
0.55383000 -0.02992000
0.59596000 -0.02867000
0.63728000 -0.02734000
0.67732000 -0.02580000
0.71079000 -0.02432000
0.73905000 -0.02305000
0.76946000 -0.02164000
0.80263000 -0.01996000
0.84055000 -0.01794000
0.87846000 -0.01571000
0.90845000 -0.01364000
0.93589000 -0.01087000
0.96199000 -0.00711000
1.00000000 -0.00104000
