NLR-7223-43 AIRFOIL
1.00000000 0.00000000
0.98674000 0.00241000
0.97405000 0.00479000
0.94057000 0.01037000
0.90956000 0.01486000
0.87707000 0.01953000
0.85180000 0.02318000
0.82620000 0.02672000
0.79870000 0.03025000
0.76978000 0.03379000
0.73983000 0.03724000
0.71095000 0.04031000
0.67768000 0.04299000
0.66260000 0.04403000
0.64752000 0.04502000
0.62970000 0.04611000
0.61274000 0.04707000
0.59610000 0.04796000
0.58101000 0.04871000
0.56646000 0.04939000
0.54760000 0.05020000
0.53251000 0.05080000
0.51365000 0.05148000
0.49496000 0.05208000
0.47987000 0.05253000
0.46149000 0.05299000
0.44640000 0.05333000
0.42941000 0.05367000
0.41244000 0.05394000
0.39545000 0.05416000
0.38036000 0.05430000
0.36525000 0.05439000
0.34826000 0.05444000
0.33433000 0.05443000
0.31734000 0.05436000
0.30223000 0.05424000
0.28713000 0.05406000
0.27195000 0.05382000
0.25685000 0.05351000
0.24173000 0.05313000
0.22749000 0.05271000
0.21616000 0.05231000
0.20104000 0.05171000
0.18734000 0.05107000
0.17412000 0.05038000
0.16276000 0.04971000
0.14953000 0.04884000
0.13629000 0.04787000
0.12638000 0.04704000
0.11881000 0.04637000
0.11503000 0.04601000
0.10911000 0.04540000
0.10532000 0.04499000
0.10154000 0.04456000
0.09965000 0.04432000
0.09775000 0.04408000
0.09586000 0.04382000
0.09466000 0.04364000
0.09346000 0.04346000
0.09226000 0.04327000
0.08986000 0.04288000
0.08626000 0.04225000
0.07681000 0.04041000
0.06736000 0.03828000
0.05977000 0.03636000
0.05226000 0.03425000
0.04505000 0.03198000
0.03962000 0.03009000
0.02735000 0.02509000
0.01753000 0.02002000
0.00981000 0.01506000
0.00418000 0.01022000
0.00127000 0.00617000
0.00000000 0.00000000
0.00000000 0.00000000
0.00054000 -0.00251000
0.00117000 -0.00363000
0.00264000 -0.00521000
0.00449000 -0.00642000
0.00728000 -0.00767000
0.00991000 -0.00862000
0.01332000 -0.00967000
0.01747000 -0.01076000
0.02178000 -0.01174000
0.02768000 -0.01292000
0.03497000 -0.01418000
0.03935000 -0.01485000
0.04635000 -0.01583000
0.05270000 -0.01664000
0.06151000 -0.01767000
0.06975000 -0.01854000
0.07728000 -0.01929000
0.08774000 -0.02026000
0.09527000 -0.02091000
0.10658000 -0.02184000
0.11641000 -0.02258000
0.12772000 -0.02339000
0.13903000 -0.02415000
0.15034000 -0.02486000
0.16165000 -0.02553000
0.17485000 -0.02625000
0.18859000 -0.02695000
0.20179000 -0.02755000
0.21499000 -0.02812000
0.22819000 -0.02864000
0.24140000 -0.02911000
0.25649000 -0.02961000
0.27162000 -0.03005000
0.28672000 -0.03044000
0.30369000 -0.03082000
0.31690000 -0.03108000
0.33200000 -0.03133000
0.34898000 -0.03155000
0.36582000 -0.03171000
0.38092000 -0.03182000
0.39602000 -0.03187000
0.41301000 -0.03187000
0.44720000 -0.03169000
0.48119000 -0.03125000
0.51383000 -0.03061000
0.54714000 -0.02968000
0.58061000 -0.02827000
0.61485000 -0.02580000
0.64763000 -0.02178000
0.67804000 -0.01761000
0.70929000 -0.01370000
0.74093000 -0.01017000
0.76930000 -0.00755000
0.79924000 -0.00535000
0.82501000 -0.00391000
0.85286000 -0.00262000
0.87643000 -0.00191000
0.90886000 -0.00102000
0.94063000 -0.00043000
0.97351000 -0.00005000
0.98676000 0.00005000
1.00000000 0.00000000
