NLR-7301 AIRFOIL
1.00000000 0.00055000
0.99000000 0.00258000
0.97500000 0.00577000
0.95000000 0.01129000
0.92500000 0.01696000
0.90000000 0.02269000
0.85000000 0.03415000
0.80000000 0.04523000
0.75000000 0.05551000
0.70000000 0.06458000
0.65000000 0.07212000
0.60000000 0.07789000
0.55000000 0.08206000
0.50000000 0.08495000
0.45000000 0.08678000
0.40000000 0.08764000
0.35000000 0.08755000
0.30000000 0.08649000
0.25000000 0.08441000
0.20000000 0.08115000
0.15000000 0.07648000
0.12500000 0.07347000
0.10000000 0.06985000
0.08000000 0.06636000
0.06500000 0.06321000
0.05000000 0.05920000
0.03500000 0.05372000
0.02500000 0.04873000
0.02000000 0.04514000
0.01600000 0.04140000
0.01250000 0.03729000
0.01000000 0.03375000
0.00800000 0.03043000
0.00650000 0.02756000
0.00500000 0.02424000
0.00350000 0.02030000
0.00200000 0.01518000
0.00100000 0.01051000
0.00050000 0.00730000
0.00000000 0.00000000
0.00000000 0.00000000
0.00050000 -0.00748000
0.00100000 -0.01020000
0.00200000 -0.01373000
0.00350000 -0.01735000
0.00500000 -0.02016000
0.00650000 -0.02252000
0.00800000 -0.02455000
0.01000000 -0.02688000
0.01250000 -0.02935000
0.01600000 -0.03225000
0.02000000 -0.03502000
0.02500000 -0.03794000
0.03500000 -0.04264000
0.05000000 -0.04806000
0.06500000 -0.05229000
0.08000000 -0.05576000
0.10000000 -0.05962000
0.12500000 -0.06358000
0.15000000 -0.06689000
0.20000000 -0.07194000
0.25000000 -0.07527000
0.30000000 -0.07713000
0.35000000 -0.07763000
0.40000000 -0.07672000
0.45000000 -0.07412000
0.50000000 -0.06934000
0.55000000 -0.06237000
0.60000000 -0.05386000
0.65000000 -0.04397000
0.70000000 -0.03316000
0.75000000 -0.02227000
0.80000000 -0.01221000
0.85000000 -0.00409000
0.90000000 0.00108000
0.92500000 0.00228000
0.95000000 0.00246000
0.97500000 0.00153000
0.99000000 0.00042000
1.00000000 -0.00055000
